Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_81_16	XM_015967959	rna28742	LOC107390943	XP_015823445.1
Group_418_0	XM_015967962	rna28745	csrp1	XP_015823448.1
Group_821_3	XM_015967986	rna28770	LOC107390964	XP_015823472.1
Group_31_22	XM_015967987	rna28771	LOC107390965	XP_015823473.1
Group_177_12	XM_015967989	rna28772	LOC107390966	XP_015823475.1
Group_1330_2	XM_015941990	rna39747	bgn	XP_015797476.1
Group_243_2	XM_015941989	rna39748	LOC107373848	XP_015797475.1
Group_1001_1	XM_015941991	rna39749	LOC107373850	XP_015797477.1
Group_141_15	XM_015941813	rna39556	LOC107373673	XP_015797299.1
Group_1965_0	XM_015941815	rna39554	LOC107373675	XP_015797301.1
Group_1495_2	XM_015941811	rna39553	LOC107373672	XP_015797297.1
Group_32_1	XM_015968026	rna28793	ddx20	XP_015823512.1
Group_133_12	XM_015968043	rna28808	LOC107391016	XP_015823529.1
Group_7357_0	XM_015968049	rna28815	csgr15h20orf24	XP_015823535.1
Group_361_9	XM_015968059	rna28823	ggt7	XP_015823545.1
Group_283_3	XM_015968067	rna28833	mafb	XP_015823553.1
Group_3002_1	XM_015968068	rna28834	rnf114	XP_015823554.1
Group_4566_0	XM_015968070	rna28835	spata2	XP_015823556.1
Group_206_11	XM_015968072	rna28838	slc9a8	XP_015823558.1
Group_1788_0	XM_015968074	rna28840	emilin3	XP_015823560.1
Group_6519_0	XM_015968075	rna28842	aar2	XP_015823561.1
Group_1860_2	XM_015968077	rna28844	samd10	XP_015823563.1
Group_2281_0	XM_015968080	rna28846	znf512b	XP_015823566.1
Group_1485_2	XM_015968086	rna28852	zbtb46	XP_015823572.1
Group_1075_1	XM_015968087	rna28853	slc2a4rg	XP_015823573.1
Group_1310_0	XM_015968093	rna28860	birc7	XP_015823579.1
Group_1122_3	XM_015968096	rna28861	ythdf1	XP_015823582.1
Group_536_3	XM_015968098	rna28863	bhlhe23	XP_015823584.1
Group_305_10	XM_015968099	rna28864	slc17a9	XP_015823585.1
Group_2422_0	XM_015968106	rna28872	LOC107391059	XP_015823592.1
Group_5806_1	XM_015968118	rna28878	rpl32	XP_015823604.1
Group_1281_2	XM_015968112	rna28879	LOC107391065	XP_015823598.1
Group_2332_0	XM_015968126	rna28894	abhd6	XP_015823612.1
Group_646_1	XM_015968127	rna28895	kctd6	XP_015823613.1
Group_293_0	XM_015968131	rna28897	LOC107391080	XP_015823617.1
Group_1709_1	XM_015968130	rna28899	LOC107391078	XP_015823616.1
Group_463_3	XM_015968132	rna28900	LOC107391081	XP_015823618.1
Group_110_6-Group_110_8	XM_015968148	rna28913	LOC107391089	XP_015823634.1
Group_881_5	XM_015968151	rna28918	LOC107391091	XP_015823637.1
Group_1622_2	XM_015968156	rna28927	LOC107391094	XP_015823642.1
Group_7532_0	XM_015968163	rna28928	LOC107391096	XP_015823649.1
Group_3389_0	XM_015968171	rna28936	nup210	XP_015823657.1
Group_94_23	XM_015968180	rna28940	wnt7a	XP_015823666.1
Group_4247_0	XM_015968178	rna28941	fbxw12	XP_015823664.1
Group_728_2	XM_015968181	rna28946	LOC107391104	XP_015823667.1
Group_239_2	XM_015968182	rna28947	LOC107391105	XP_015823668.1
Group_60_36	XM_015968186	rna28951	gpr182	XP_015823672.1
Group_2269_2	XM_015968193	rna28957	tspan31	XP_015823679.1
Group_195_2	XM_015968215	rna28978	brpf1	XP_015823701.1
Group_54_7	XM_015968243	rna29005	LOC107391139	XP_015823729.1
Group_6321_0	XM_015968262	rna29023	ogg1	XP_015823748.1
Group_1349_2	XM_015968270	rna29030	LOC107391153	XP_015823756.1
Group_1552_2	XM_015968285	rna29045	LOC107391156	XP_015823771.1
Group_660_0	XM_015968286	rna29046	LOC107391157	XP_015823772.1
Group_1018_3	XM_015968287	rna29047	LOC107391158	XP_015823773.1
Group_6480_0	XM_015968301	rna29058	prim1	XP_015823787.1
Group_1187_3	XM_015968310	rna29067	LOC107391170	XP_015823796.1
Group_5563_0	XM_015968317	rna29074	mtg2	XP_015823803.1
Group_1856_1	XM_015968319	rna29075	ss18l1	XP_015823805.1
Group_40_6	XM_015968323	rna29080	cdh4	XP_015823809.1
Group_57_18	XM_015968385	rna29143	rnd1	XP_015823871.1
Group_1867_0	XM_015968386	rna29144	LOC107391219	XP_015823872.1
Group_878_6	XM_015968387	rna29145	LOC107391220	XP_015823873.1
Group_54_8	XM_015968412	rna29167	rho	XP_015823898.1
Group_370_4	XM_015968419	rna29173	tcf15	XP_015823905.1
Group_519_0	XM_015968420	rna29177	slc13a3	XP_015823906.1
Group_4133_0	XM_015968426	rna29179	ocstamp	XP_015823912.1
Group_1088_3	XM_015968427	rna29180	LOC107391239	XP_015823913.1
Group_86_19	XM_015968429	rna29183	LOC107391241	XP_015823915.1
Group_7059_0	XM_015968430	rna29184	pym1	XP_015823916.1
Group_5918_0	XM_015968431	rna29187	pan2	XP_015823917.1
Group_6225_0	XM_015968442	rna29191	taf11	XP_015823928.1
Group_2849_1	XM_015968443	rna29196	csgr15h6orf106	XP_015823929.1
Group_470_4	XM_015968470	rna29221	LOC107391264	XP_015823956.1
Group_580_7	XM_015968576	rna29318	e2f1	XP_015824062.1
Group_370_7	XM_015968588	rna29335	LOC107391324	XP_015824074.1
Group_144_1	XM_015968593	rna29340	LOC107391329	XP_015824079.1
Group_278_4	XM_015968595	rna29342	LOC107391330	XP_015824081.1
Group_1292_3	XM_015968619	rna29367	LOC107391345	XP_015824105.1
Group_7322_0	XM_015968625	rna29372	fam50a	XP_015824111.1
Group_56_2	XM_015968635	rna29381	LOC107391354	XP_015824121.1
Group_1213_0	XM_015977214	rna37923	bcap31	XP_015832700.1
Group_4924_0	XM_015968640	rna29532	ccdc22	XP_015824126.1
Group_1284_0	XM_015968643	rna29536	LOC107391363	XP_015824129.1
Group_6828_0	XM_015968650	rna29539	LOC107391368	XP_015824136.1
Group_7200_0	XM_015968648	rna29543	LOC107391367	XP_015824134.1
Group_4530_0	XM_015968659	rna29553	kiaa2013	XP_015824145.1
Group_4770_0	XM_015976829	rna37517	LOC107396978	XP_015832315.1
Group_158_15	XM_015959987	rna21065	LOC107385845	XP_015815473.1
Group_2073_0	XM_015959990	rna21066	comt	XP_015815476.1
Group_54_13	XM_015960002	rna21079	LOC107385859	XP_015815488.1
Group_214_2	XM_015960020	rna21094	fam83d	XP_015815506.1
Group_603_5	XM_015960019	rna21095	zhx3	XP_015815505.1
Group_1335_2	XM_015960021	rna21096	top1	XP_015815507.1
Group_1140_2	XM_015960022	rna21097	LOC107385871	XP_015815508.1
Group_534_1	XM_015960027	rna21101	LOC107385873	XP_015815513.1
Group_605_2	XM_015960035	rna21111	LOC107385878	XP_015815521.1
Group_955_3	XM_015960037	rna21113	id1	XP_015815523.1
Group_73_7	XM_015959946	rna21022	cntn3	XP_015815432.1
Group_820_0	XM_015959940	rna21014	pdzrn3	XP_015815426.1
Group_1724_2	XM_015959938	rna21012	gxylt2	XP_015815424.1
Group_1746_0	XM_015959936	rna21010	rybp	XP_015815422.1
Group_3203_1	XM_015960079	rna21009	prok2	XP_015815565.1
Group_3113_0	XM_015959935	rna21008	eif4e3	XP_015815421.1
Group_2416_1	XM_015974411	rna35028	LOC107395123	XP_015829897.1
Group_843_0	XM_015959903	rna20973	LOC107385794	XP_015815389.1
Group_1719_0	XM_015959912	rna20982	LOC107385798	XP_015815398.1
Group_25_14	XM_015959831	rna20897	LOC107385745	XP_015815317.1
Group_550_3	XM_015959830	rna20896	LOC107385744	XP_015815316.1
Group_201_12	XM_015959820	rna20887	oxtr	XP_015815306.1
Group_158_1	XM_015959814	rna20881	LOC107385736	XP_015815300.1
Group_1185_1	XM_015959795	rna20863	LOC107385722	XP_015815281.1
Group_1369_1	XM_015959794	rna20861	ip6k2	XP_015815280.1
Group_3027_0	XM_015959792	rna20858	LOC107385719	XP_015815278.1
Group_6906_0	XM_015959788	rna20857	uroc1	XP_015815274.1
Group_13_32	XM_015959789	rna20856	LOC107385717	XP_015815275.1
Group_359_2	XM_015959782	rna20849	gata2	XP_015815268.1
Group_5321_0	XM_015959780	rna20846	eefsec	XP_015815266.1
Group_2500_1	XM_015959781	rna20845	ruvbl1	XP_015815267.1
Group_5605_0	XM_015959777	rna20843	rft1	XP_015815263.1
Group_201_8	XM_015959770	rna20836	LOC107385698	XP_015815256.1
Group_119_24	XM_015959707	rna20772	LOC107385662	XP_015815193.1
Group_1619_2	XM_015959705	rna20770	LOC107385660	XP_015815191.1
Group_30_16	XM_015959703	rna20769	prph	XP_015815189.1
Group_86_18	XM_015959697	rna20763	mmp19	XP_015815183.1
Group_6432_0	XM_015959693	rna20760	mcrs1	XP_015815179.1
Group_330_5	XM_015959692	rna20759	LOC107385653	XP_015815178.1
Group_5266_0	XM_015959691	rna20758	mettl1	XP_015815177.1
Group_1719_1	XM_015957077	rna18200	LOC107384049	XP_015812563.1
Group_9028_0	XM_015959616	rna20689	LOC107385620	XP_015815102.1
Group_724_2	XM_015959615	rna20688	mettl21b	XP_015815101.1
Group_210_1	XM_015959611	rna20684	dgka	XP_015815097.1
Group_20_61	XM_015959610	rna20683	LOC107385615	XP_015815096.1
Group_4912_0	XM_015959606	rna20679	dnajc14	XP_015815092.1
Group_13_29	XM_015959588	rna20661	mapkapk2	XP_015815074.1
Group_396_3	XM_015959573	rna20648	srgap2	XP_015815059.1
Group_5923_0	XM_015959572	rna20647	fam72a	XP_015815058.1
Group_555_6	XM_015959571	rna20646	foxp4	XP_015815057.1
Group_556_1	XM_015959563	rna20640	tfeb	XP_015815049.1
Group_4883_0	XM_015959562	rna20638	tmem183a	XP_015815048.1
Group_856_2	XM_015959558	rna20635	myog	XP_015815044.1
Group_2713_1	XM_015959556	rna20628	LOC107385584	XP_015815042.1
Group_299_3	XM_015959551	rna20627	psma5	XP_015815037.1
Group_230_14	XM_015959543	rna20622	nek4	XP_015815029.1
Group_7300_0	XM_015959546	rna20621	spcs1	XP_015815032.1
Group_1441_0	XM_015959542	rna20619	gnl3	XP_015815028.1
Group_17_15	XM_015959525	rna20599	kif21b	XP_015815011.1
Group_594_1	XM_015959521	rna20596	LOC107385561	XP_015815007.1
Group_8120_0	XM_015959518	rna20592	tmem167b	XP_015815004.1
Group_6847_0	XM_015959515	rna20591	b3galt6	XP_015815001.1
Group_2484_1	XM_015959514	rna20590	LOC107385556	XP_015815000.1
Group_2947_0	XM_015959516	rna20589	cda	XP_015815002.1
Group_2_42	XM_015959513	rna20588	LOC107385555	XP_015814999.1
Group_32_39	XM_015959509	rna20587	LOC107385551	XP_015814995.1
Group_4899_0	XM_015959510	rna20585	pusl1	XP_015814996.1
Group_5836_0	XM_015959502	rna20578	ube2j2	XP_015814988.1
Group_2452_0	XM_015959492	rna20570	dnajc11	XP_015814978.1
Group_5854_0	XM_015959493	rna20569	phf13	XP_015814979.1
Group_3112_1	XM_015959488	rna20565	LOC107385539	XP_015814974.1
Group_370_8	XM_015959487	rna20563	LOC107385538	XP_015814973.1
Group_390_11	XM_015959460	rna20537	LOC107385527	XP_015814946.1
Group_2893_1	XM_015959459	rna20536	LOC107385526	XP_015814945.1
Group_144_0	XM_015959444	rna20522	plxna1	XP_015814930.1
Group_1787_2	XM_015959443	rna20518	LOC107385516	XP_015814929.1
Group_5340_0	XM_015959439	rna20516	evc	XP_015814925.1
Group_958_0	XM_015959436	rna20511	msx1	XP_015814922.1
Group_5971_0	XM_015959432	rna20508	stx18	XP_015814918.1
Group_61_29	XM_015959424	rna20503	LOC107385502	XP_015814910.1
Group_2114_0	XM_015959411	rna20489	cit	XP_015814897.1
Group_934_7	XM_015959409	rna20487	tmem233	XP_015814895.1
Group_4222_0	XM_015959408	rna20486	dnai1	XP_015814894.1
Group_1611_2	XM_015959404	rna20482	LOC107385491	XP_015814890.1
Group_121_2	XM_015959386	rna20460	LOC107385482	XP_015814872.1
Group_2348_0	XM_015959385	rna20459	nop56	XP_015814871.1
Group_771_0	XM_015959366	rna20443	ell2	XP_015814852.1
Group_252_2	XM_015959362	rna20439	pcsk1	XP_015814848.1
Group_5610_0	XM_015959340	rna20417	LOC107385463	XP_015814826.1
Group_1209_3	XM_015960070	rna20416	LOC107385912	XP_015815556.1
Group_5621_0	XM_015959334	rna20410	wdr1	XP_015814820.1
Group_19_38	XM_015959325	rna20402	drd5	XP_015814811.1
Group_4907_0	XM_015959321	rna20398	lyar	XP_015814807.1
Group_466_4	XM_015959319	rna20396	synpr	XP_015814805.1
Group_6352_0	XM_015959318	rna20395	thoc7	XP_015814804.1
Group_5152_0	XM_015959316	rna20392	psmd6	XP_015814802.1
Group_431_6	XM_015959311	rna20389	prickle2	XP_015814797.1
Group_64_6	XM_015959309	rna20386	adamts9	XP_015814795.1
Group_5395_0	XM_015959299	rna20377	slc25a26	XP_015814785.1
Group_1533_0	XM_015959298	rna20376	lrig1	XP_015814784.1
Group_6_44	XM_015959296	rna20375	kbtbd8	XP_015814782.1
Group_135_2	XM_015959297	rna20374	LOC107385437	XP_015814783.1
Group_2228_1	XM_015959295	rna20373	suclg2	XP_015814781.1
Group_294_3	XM_015959289	rna20366	LOC107385432	XP_015814775.1
Group_6245_0	XM_015959285	rna20361	tmf1	XP_015814771.1
Group_1789_1	XM_015959284	rna20360	uba3	XP_015814770.1
Group_1185_2	XM_015959257	rna20329	LOC107385412	XP_015814743.1
Group_2405_0	XM_015959243	rna20314	LOC107385403	XP_015814729.1
Group_4814_0	XM_015959235	rna20307	LOC107385397	XP_015814721.1
Group_1378_1	XM_015959230	rna20302	LOC107385394	XP_015814716.1
Group_2_46	XM_015959226	rna20297	LOC107385387	XP_015814712.1
Group_6967_0	XM_015959228	rna20293	bloc1s1	XP_015814714.1
Group_6821_0	XM_015959223	rna20284	rtfdc1	XP_015814709.1
Group_40_28	XM_015959211	rna20279	cdh22	XP_015814697.1
Group_590_4	XM_015959198	rna20267	tox2	XP_015814684.1
Group_2723_0	XM_015959196	rna20265	st7l	XP_015814682.1
Group_94_12	XM_015959195	rna20264	wnt2b	XP_015814681.1
Group_1495_0	XM_015959194	rna20261	cttnbp2nl	XP_015814680.1
Group_4536_0	XM_015959191	rna20258	fam212b	XP_015814677.1
Group_78_40	XM_015959177	rna20249	LOC107385350	XP_015814663.1
Group_1752_0	XM_015959182	rna20246	LOC107385352	XP_015814668.1
Group_1673_2	XM_015959174	rna20243	LOC107385348	XP_015814660.1
Group_684_1	XM_015959169	rna20238	ppp1r16b	XP_015814655.1
Group_1357_5	XM_015959165	rna20234	shmt2	XP_015814651.1
Group_472_0	XM_015959164	rna20233	nxph4	XP_015814650.1
Group_766_3	XM_015959152	rna20222	LOC107385337	XP_015814638.1
Group_802_4	XM_015959149	rna20219	LOC107385334	XP_015814635.1
Group_6647_0	XM_015959099	rna20166	rpl29	XP_015814585.1
Group_27_31	XM_015959083	rna20150	slc6a1	XP_015814569.1
Group_905_3	XM_015959072	rna20140	timp4	XP_015814558.1
Group_5295_0	XM_015960066	rna20135	terf2ip	XP_015815552.1
Group_1496_2	XM_015959063	rna20133	iffo2	XP_015814549.1
Group_5801_0	XM_015959066	rna20131	mrto4	XP_015814552.1
Group_5695_0	XM_015959065	rna20130	LOC107385281	XP_015814551.1
Group_5794_0	XM_015959061	rna20121	park7	XP_015814547.1
Group_5253_0	XM_015959049	rna20118	mrps16	XP_015814535.1
Group_11_17	XM_015959045	rna20112	tas1r3	XP_015814531.1
Group_39_44	XM_015959013	rna20079	LOC107385251	XP_015814499.1
Group_90_1	XM_015959004	rna20070	LOC107385243	XP_015814490.1
Group_8185_0	XM_015958995	rna20061	tcta	XP_015814481.1
Group_1047_1	XM_015958992	rna20057	twf2	XP_015814478.1
Group_451_4	XM_015958948	rna20013	LOC107385211	XP_015814434.1
Group_76_37	XM_015958919	rna19986	LOC107385196	XP_015814405.1
Group_405_3	XM_015958918	rna19985	LOC107385195	XP_015814404.1
Group_1322_0	XM_015958915	rna19982	rbm5	XP_015814401.1
Group_719_5	XM_015958913	rna19980	LOC107385192	XP_015814399.1
Group_158_0	XM_015958910	rna19978	LOC107385191	XP_015814396.1
Group_8470_0	XM_015958909	rna19973	LOC107385190	XP_015814395.1
Group_7899_0	XM_015958886	rna19955	csgr10h3orf67	XP_015814372.1
Group_54_10	XM_015958867	rna19938	LOC107385170	XP_015814353.1
Group_27_9	XM_015960061	rna19936	LOC107385903	XP_015815547.1
Group_101_12	XM_015958849	rna19917	LOC107385159	XP_015814335.1
Group_344_0	XM_015958809	rna19883	LOC107385134	XP_015814295.1
Group_3062_1	XM_015958811	rna19882	LOC107385136	XP_015814297.1
Group_1099_4	XM_015958810	rna19881	LOC107385135	XP_015814296.1
Group_3204_0	XM_015958808	rna19879	LOC107385132	XP_015814294.1
Group_38_11	XM_015958804	rna19877	rad54l2	XP_015814290.1
Group_2331_0	XM_015958807	rna19876	bap1	XP_015814293.1
Group_728_3	XM_015958774	rna19848	LOC107385119	XP_015814260.1
Group_309_5	XM_015958766	rna19841	LOC107385115	XP_015814252.1
Group_741_1	XM_015958761	rna19837	LOC107385113	XP_015814247.1
Group_40_5	XM_015958759	rna19835	LOC107385112	XP_015814245.1
Group_1349_0	XM_015958741	rna19829	dido1	XP_015814227.1
Group_5969_0	XM_015958738	rna19815	ndufaf3	XP_015814224.1
Group_4905_0	XM_015958733	rna19813	tmem43	XP_015814219.1
Group_4909_0	XM_015958728	rna19807	LOC107385099	XP_015814214.1
Group_1676_2	XM_015958657	rna19737	LOC107385057	XP_015814143.1
Group_294_0	XM_015958656	rna19735	LOC107385055	XP_015814142.1
Group_25_0	XM_015958642	rna19722	LOC107385045	XP_015814128.1
Group_2906_1	XM_015958638	rna19718	LOC107385042	XP_015814124.1
Group_274_4	XM_015960087	rna19717	LOC107385935	XP_015815573.1
Group_175_13	XM_015958622	rna19703	LOC107385037	XP_015814108.1
Group_81_19	XM_015958594	rna19679	LOC107385028	XP_015814080.1
Group_81_21	XM_015958592	rna19676	LOC107385025	XP_015814078.1
Group_158_10	XM_015958590	rna19675	grm4	XP_015814076.1
Group_1731_1	XM_015958588	rna19674	nudt3	XP_015814074.1
Group_2849_0	XM_015958583	rna19668	LOC107385018	XP_015814069.1
Group_101_27	XM_015958573	rna19658	LOC107385012	XP_015814059.1
Group_6733_0	XM_015958562	rna19646	cd34	XP_015814048.1
Group_144_15	XM_015958561	rna19645	LOC107385003	XP_015814047.1
Group_3143_0	XM_015958559	rna19644	LOC107385001	XP_015814045.1
Group_12_12	XM_015960059	rna19618	LOC107385897	XP_015815545.1
Group_6908_0	XM_015958503	rna19587	sec13	XP_015813989.1
Group_6766_0	XM_015958499	rna19584	LOC107384962	XP_015813985.1
Group_8388_0	XM_015958477	rna19550	LOC107384948	XP_015813963.1
Group_4832_0	XM_015958474	rna19549	atrip	XP_015813960.1
Group_1018_4	XM_015958470	rna19539	LOC107384941	XP_015813956.1
Group_699_5	XM_015958434	rna19510	ahcy	XP_015813920.1
Group_449_0	XM_015958431	rna19504	rims4	XP_015813917.1
Group_293_1	XM_015958430	rna19502	LOC107384913	XP_015813916.1
Group_1435_1	XM_015958404	rna19478	lrrc38	XP_015813890.1
Group_3620_1	XM_015958402	rna19475	lactbl1	XP_015813888.1
Group_1870_1	XM_015958354	rna19426	LOC107384870	XP_015813840.1
Group_5299_0	XM_015958311	rna19385	nicn1	XP_015813797.1
Group_6046_0	XM_015958057	rna19129	orc4	XP_015813543.1
Group_1052_1	XM_015958061	rna19133	fam171b	XP_015813547.1
Group_96_32	XM_015958063	rna19134	LOC107384689	XP_015813549.1
Group_5_63	XM_015958064	rna19135	LOC107384690	XP_015813550.1
Group_632_2	XM_015941143	rna38787	LOC107372951	XP_015796629.1
Group_1211_2	XM_015958069	rna19141	LOC107384695	XP_015813555.1
Group_7628_0	XM_015958094	rna19159	med11	XP_015813580.1
Group_1810_2	XM_015975492	rna36170	fam84a	XP_015830978.1
Group_32_21	XM_015975458	rna36168	ddx1	XP_015830944.1
Group_520_5	XM_015975480	rna36140	serinc1	XP_015830966.1
Group_3130_1	XM_015975449	rna36131	mdn1	XP_015830935.1
Group_1103_0	XM_015975473	rna36126	bach2	XP_015830959.1
Group_8276_0	XM_015960590	rna21152	csgr11h9orf84	XP_015816076.1
Group_516_2	XM_015960583	rna21161	inpp5e	XP_015816069.1
Group_62_25	XM_015960582	rna21165	LOC107386278	XP_015816068.1
Group_2532_0	XM_015960544	rna21203	LOC107386251	XP_015816030.1
Group_1680_1	XM_015960542	rna21204	LOC107386249	XP_015816028.1
Group_2759_1	XM_015960543	rna21205	LOC107386250	XP_015816029.1
Group_7430_0	XM_015960521	rna21224	srrm4	XP_015816007.1
Group_2018_1	XM_015960608	rna21354	LOC107386302	XP_015816094.1
Group_1009_2	XM_015960606	rna21363	LOC107386301	XP_015816092.1
Group_103_8	XM_015960233	rna21510	bmp3	XP_015815719.1
Group_834_2	XM_015960176	rna21564	LOC107386020	XP_015815662.1
Group_94_32	XM_015960168	rna21571	wnt11	XP_015815654.1
Group_4798_0	XM_015960131	rna21615	nccrp1	XP_015815617.1
Group_1337_3	XM_015960127	rna21617	LOC107385983	XP_015815613.1
Group_832_0	XM_015960749	rna21747	LOC107386391	XP_015816235.1
Group_2886_0	XM_015960794	rna21790	LOC107386419	XP_015816280.1
Group_2709_0	XM_015960797	rna21791	LOC107386421	XP_015816283.1
Group_55_31	XM_015960798	rna21792	gsx1	XP_015816284.1
Group_360_5	XM_015960805	rna21799	LOC107386429	XP_015816291.1
Group_68_12	XM_015960814	rna21807	ephb4	XP_015816300.1
Group_875_0	XM_015960820	rna21810	LOC107386436	XP_015816306.1
Group_4630_0	XM_015960821	rna21813	chrdl2	XP_015816307.1
Group_24_52	XM_015960830	rna21820	LOC107386444	XP_015816316.1
Group_5650_0	XM_015960836	rna21828	LOC107386447	XP_015816322.1
Group_205_0	XM_015960843	rna21829	lrch2	XP_015816329.1
Group_5654_0	XM_015960837	rna21836	wdr44	XP_015816323.1
Group_3354_0	XM_015960849	rna21840	LOC107386454	XP_015816335.1
Group_0_201	XM_015960848	rna21841	LOC107386453	XP_015816334.1
Group_97_15	XM_015960851	rna21842	ltbp3	XP_015816337.1
Group_770_3	XM_015960862	rna21852	LOC107386459	XP_015816348.1
Group_319_1	XM_015960871	rna21861	abcg4	XP_015816357.1
Group_2374_1	XM_015960874	rna21864	hinfp	XP_015816360.1
Group_5765_0	XM_015960875	rna21865	dpagt1	XP_015816361.1
Group_2628_0	XM_015960893	rna21881	LOC107386473	XP_015816379.1
Group_64_7	XM_015960895	rna21884	LOC107386475	XP_015816381.1
Group_1033_0	XM_015960908	rna21897	sat2	XP_015816394.1
Group_255_5	XM_015960911	rna21902	slc25a35	XP_015816397.1
Group_125_22	XM_015960973	rna21963	LOC107386527	XP_015816459.1
Group_6074_0	XM_015960983	rna21971	cwc15	XP_015816469.1
Group_5723_0	XM_015960987	rna21975	LOC107386534	XP_015816473.1
Group_5888_0	XM_015961058	rna22044	aifm1	XP_015816544.1
Group_48_23	XM_015961060	rna22046	LOC107386581	XP_015816546.1
Group_215_13	XM_015961064	rna22050	msi2	XP_015816550.1
Group_1044_2	XM_015961102	rna22085	sez6	XP_015816588.1
Group_2740_0	XM_015961115	rna22098	LOC107386598	XP_015816601.1
Group_19_32	XM_015961129	rna22113	LOC107386608	XP_015816615.1
Group_82_5	XM_015961130	rna22114	LOC107386610	XP_015816616.1
Group_1407_0	XM_015961136	rna22119	LOC107386611	XP_015816622.1
Group_99_19	XM_015961138	rna22121	LOC107386613	XP_015816624.1
Group_996_0	XM_015961141	rna22125	LOC107386615	XP_015816627.1
Group_2944_1	XM_015961143	rna22126	LOC107386618	XP_015816629.1
Group_146_15	XM_015961145	rna22129	mpp1	XP_015816631.1
Group_48_2	XM_015977352	rna38058	gabra3	XP_015832838.1
Group_6579_0	XM_015977351	rna38061	ammecr1	XP_015832837.1
Group_220_0	XM_015961157	rna22142	ppm1e	XP_015816643.1
Group_136_5	XM_015961164	rna22144	pou2f3	XP_015816650.1
Group_1623_4	XM_015961160	rna22145	slc37a2	XP_015816646.1
Group_4298_0	XM_015961171	rna22151	mybbp1a	XP_015816657.1
Group_4728_0	XM_015961173	rna22152	tbl2	XP_015816659.1
Group_2086_1	XM_015961166	rna22159	ncor1	XP_015816652.1
Group_6439_0	XM_015961180	rna22164	zswim7	XP_015816666.1
Group_1042_0	XM_015961181	rna22166	specc1	XP_015816667.1
Group_8835_0	XM_015961188	rna22177	LOC107386656	XP_015816674.1
Group_6396_0	XM_015961189	rna22178	csgr11h11orf54	XP_015816675.1
Group_10_49	XM_015961197	rna22186	LOC107386663	XP_015816683.1
Group_381_8	XM_015961200	rna22187	LOC107386665	XP_015816686.1
Group_6242_0	XM_015961201	rna22188	zfpl1	XP_015816687.1
Group_5410_0	XM_015961207	rna22192	frmd8	XP_015816693.1
Group_5555_0	XM_015961206	rna22193	vps51	XP_015816692.1
Group_1635_1	XM_015961211	rna22197	cnih2	XP_015816697.1
Group_292_8	XM_015961221	rna22203	gng3	XP_015816707.1
Group_2485_1	XM_015961236	rna22218	kctd7	XP_015816722.1
Group_3_89	XM_015961240	rna22223	rab24	XP_015816726.1
Group_2142_0	XM_015961251	rna22235	larp1	XP_015816737.1
Group_2895_3	XM_015961262	rna22245	LOC107386701	XP_015816748.1
Group_2330_0	XM_015961264	rna22247	rnf14	XP_015816750.1
Group_1728_0	XM_015961268	rna22250	ndfip1	XP_015816754.1
Group_1290_0	XM_015961271	rna22253	spry4	XP_015816757.1
Group_669_3	XM_015961275	rna22257	arhgap26	XP_015816761.1
Group_2950_0	XM_015961279	rna22261	yipf5	XP_015816765.1
Group_609_5	XM_015961281	rna22262	kctd16	XP_015816767.1
Group_4431_0	XM_015961284	rna22265	lars	XP_015816770.1
Group_2274_1	XM_015961285	rna22266	rbm27	XP_015816771.1
Group_19_40	XM_015974884	rna35527	LOC107395488	XP_015830370.1
Group_958_1	XM_015961291	rna22272	LOC107386720	XP_015816777.1
Group_647_5	XM_015961293	rna22275	LOC107386722	XP_015816779.1
Group_433_3	XM_015961303	rna22287	LOC107386729	XP_015816789.1
Group_206_1	XM_015961305	rna22288	LOC107386731	XP_015816791.1
Group_3_62	XM_015961315	rna22298	LOC107386736	XP_015816801.1
Group_642_1	XM_015961316	rna22299	LOC107386738	XP_015816802.1
Group_97_9	XM_015961326	rna22309	cd248	XP_015816812.1
Group_615_1	XM_015961348	rna22327	LOC107386746	XP_015816834.1
Group_2445_1	XM_015961365	rna22340	LOC107386759	XP_015816851.1
Group_5174_0	XM_015961364	rna22341	ublcp1	XP_015816850.1
Group_5965_0	XM_015961362	rna22344	htatsf1	XP_015816848.1
Group_1978_3	XM_015961437	rna22345	LOC107386810	XP_015816923.1
Group_2857_0	XM_015961371	rna22346	LOC107386763	XP_015816857.1
Group_3250_1	XM_015961345	rna22349	tcerg1	XP_015816831.1
Group_2236_0	XM_015961373	rna22354	LOC107386765	XP_015816859.1
Group_5739_0	XM_015961374	rna22355	crcp	XP_015816860.1
Group_2315_0	XM_015961386	rna22366	ccni2	XP_015816872.1
Group_48_8	XM_015961397	rna22381	LOC107386782	XP_015816883.1
Group_2036_0	XM_015961400	rna22384	LOC107386784	XP_015816886.1
Group_24_26	XM_015961401	rna22392	stk10	XP_015816887.1
Group_8422_0	XM_015961410	rna22393	LOC107386788	XP_015816896.1
Group_10_26	XM_015961411	rna22394	stk32a	XP_015816897.1
Group_1708_2	XM_015961414	rna22397	LOC107386791	XP_015816900.1
Group_566_3	XM_015961419	rna22402	pdlim4	XP_015816905.1
Group_2051_0	XM_015961473	rna22441	fstl4	XP_015816959.1
Group_8263_0	XM_015961474	rna22443	csgr11h5orf15	XP_015816960.1
