Group_34_14	XM_015946248	rna7464	chrnb1	XP_015801734.1
Group_3901_0	XM_015970156	rna30896	npc2	XP_015825642.1
Group_853_4	XM_015970193	rna30931	tgfb3	XP_015825679.1
Group_7651_0	XM_015970194	rna30932	ift43	XP_015825680.1
Group_20_9	XM_015970198	rna30937	esrrb	XP_015825684.1
Group_3249_1	XM_015970207	rna30941	dlst	XP_015825693.1
Group_2480_0	XM_015970208	rna30946	LOC107392413	XP_015825694.1
Group_2759_0	XM_015969614	rna30947	lrrc74a	XP_015825100.1
Group_1177_4	XM_015970220	rna30960	LOC107392422	XP_015825706.1
Group_7363_0	XM_015970223	rna30963	exd1	XP_015825709.1
Group_216_1	XM_015970232	rna30971	LOC107392432	XP_015825718.1
Group_719_4	XM_015970235	rna30972	gpx2	XP_015825721.1
Group_3705_1	XM_015970272	rna31012	crim1	XP_015825758.1
Group_3862_1	XM_015970299	rna31039	LOC107392473	XP_015825785.1
Group_7148_0	XM_015970308	rna31048	zfyve19	XP_015825794.1
Group_1101_0	XM_015970478	rna31215	LOC107392593	XP_015825964.1
Group_1087_3	XM_015970481	rna31212	LOC107392595	XP_015825967.1
Group_2376_1	XM_015970355	rna31093	kbtbd11	XP_015825841.1
Group_5799_0	XM_015970410	rna31149	gale	XP_015825896.1
Group_1953_1	XM_015970412	rna31150	insm1	XP_015825898.1
Group_7920_0	XM_015970422	rna31152	kiz	XP_015825908.1
Group_65_15	XM_015970432	rna31159	pax1	XP_015825918.1
Group_39_20	XM_015970429	rna31161	foxa2	XP_015825915.1
Group_2300_1	XM_015970431	rna31165	LOC107392554	XP_015825917.1
Group_15_45	XM_015970440	rna31180	LOC107392559	XP_015825926.1
Group_6156_0	XM_015971878	rna32582	anapc7	XP_015827364.1
Group_336_4	XM_015971884	rna32588	LOC107393500	XP_015827370.1
Group_30_6	XM_015971920	rna32623	LOC107393518	XP_015827406.1
Group_42_23	XM_015971958	rna32657	sema4c	XP_015827444.1
Group_6775_0	XM_015971962	rna32662	gnb1l	XP_015827448.1
Group_1245_1	XM_015971998	rna32696	fbrsl1	XP_015827484.1
Group_46_11	XM_015972003	rna32700	LOC107393555	XP_015827489.1
Group_200_4	XM_015972027	rna32724	crybb3	XP_015827513.1
Group_2064_1	XM_015972034	rna32731	hnf1a	XP_015827520.1
Group_361_2	XM_015972059	rna32756	ggt1	XP_015827545.1
Group_159_10	XM_015972063	rna32760	LOC107393595	XP_015827549.1
Group_323_2	XM_015972067	rna32764	dock5	XP_015827553.1
Group_3454_1	XM_015972069	rna32766	cabin1	XP_015827555.1
Group_16_13	XM_015972083	rna32781	LOC107393607	XP_015827569.1
Group_2540_0	XM_015972097	rna32789	LOC107393613	XP_015827583.1
Group_439_2	XM_015972133	rna32827	LOC107393631	XP_015827619.1
Group_81_4	XM_015972142	rna32837	hmcn2	XP_015827628.1
Group_28_49	XM_015972143	rna32838	angptl2	XP_015827629.1
Group_506_5	XM_015972144	rna32839	zbtb34	XP_015827630.1
Group_1432_1	XM_015972150	rna32844	mvb12b	XP_015827636.1
Group_2448_0	XM_015972207	rna32902	npc1l1	XP_015827693.1
Group_1421_4	XM_015972214	rna32903	LOC107393674	XP_015827700.1
Group_5367_0	XM_015972240	rna32933	ciao1	XP_015827726.1
Group_940_0	XM_015972241	rna32935	LOC107393695	XP_015827727.1
Group_2571_1	XM_015972252	rna32944	vps33a	XP_015827738.1
Group_269_6	XM_015972263	rna32955	pitpnb	XP_015827749.1
Group_51_45	XM_015972278	rna32966	LOC107393720	XP_015827764.1
Group_8552_0	XM_015972355	rna33045	pebp4	XP_015827841.1
Group_6322_0	XM_015972406	rna33098	mblac2	XP_015827892.1
Group_7241_0	XM_015972460	rna33140	wdr54	XP_015827946.1
Group_2418_0	XM_015972483	rna33155	tmem161b	XP_015827969.1
Group_1825_1	XM_015972539	rna33208	LOC107393912	XP_015828025.1
Group_576_3	XM_015972609	rna33274	gal3st1	XP_015828095.1
Group_5331_0	XM_015972607	rna33275	pes1	XP_015828093.1
Group_7528_0	XM_015972624	rna33289	mmab	XP_015828110.1
Group_5318_0	XM_015972648	rna33316	pxmp2	XP_015828134.1
Group_5062_0	XM_015972650	rna33317	ung	XP_015828136.1
Group_4480_0	XM_015972654	rna33320	usp30	XP_015828140.1
Group_452_4	XM_015972658	rna33324	ssh1	XP_015828144.1
Group_47_32	XM_015973094	rna33362	rasl10a	XP_015828580.1
Group_1257_2	XM_015973092	rna33374	LOC107394233	XP_015828578.1
Group_154_3	XM_015972741	rna33502	LOC107394027	XP_015828227.1
Group_2034_1	XM_015972743	rna33503	LOC107394028	XP_015828229.1
Group_16_35	XM_015972751	rna33510	ntrk2	XP_015828237.1
Group_3170_0	XM_015972752	rna33512	slc28a3	XP_015828238.1
Group_5890_0	XM_015972753	rna33513	rmi1	XP_015828239.1
Group_373_5	XM_015972779	rna33537	tle1	XP_015828265.1
Group_440_4	XM_015972813	rna33567	LOC107394066	XP_015828299.1
Group_1895_0	XM_015972886	rna33632	cdc14b	XP_015828372.1
Group_1654_0	XM_015972932	rna33677	fam109a	XP_015828418.1
Group_7105_0	XM_015972933	rna33678	prr16	XP_015828419.1
Group_1990_3	XM_015972956	rna33697	LOC107394162	XP_015828442.1
Group_4804_0	XM_015973105	rna33739	cdc45	XP_015828591.1
Group_15_11	XM_015973106	rna33740	cldn5	XP_015828592.1
Group_1961_0	XM_015973211	rna33841	tmem8b	XP_015828697.1
Group_6429_0	XM_015961367	rna2207	nup37	XP_015816853.1
Group_1646_0	XM_015960787	rna2149	LOC107386414	XP_015816273.1
Group_6748_0	XM_015960764	rna2146	ndufb2	XP_015816250.1
Group_5925_0	XM_015960318	rna2106	ccdc53	XP_015815804.1
Group_992_0	XM_015960272	rna2103	LOC107386087	XP_015815758.1
Group_1330_3	XM_015959934	rna2063	LOC107385809	XP_015815420.1
Group_3475_1	XM_015959802	rna2051	prrt4	XP_015815288.1
Group_3021_1	XM_015959778	rna2050	LOC107385704	XP_015815264.1
Group_145_13	XM_015959717	rna2038	LOC107385666	XP_015815203.1
Group_6314_0	XM_015959356	rna2001	mest	XP_015814842.1
Group_3_48	XM_015957957	rna1854	LOC107384610	XP_015813443.1
Group_289_7	XM_015957570	rna1812	LOC107384342	XP_015813056.1
Group_556_0	XM_015957514	rna1806	tfec	XP_015813000.1
Group_668_0	XM_015957314	rna1784	lrrn3	XP_015812800.1
Group_94_25	XM_015957032	rna1756	wnt7b	XP_015812518.1
Group_1867_1	XM_015956827	rna1736	creld2	XP_015812313.1
Group_418_1	XM_015955605	rna1595	LOC107383140	XP_015811091.1
Group_416_6	XM_015975687	rna36353	adad1	XP_015831173.1
Group_1354_5	XM_015951377	rna1249	LOC107380232	XP_015806863.1
Group_4290_0	XM_015950695	rna1175	tdo2	XP_015806181.1
Group_1412_2	XM_015949529	rna1054	LOC107378992	XP_015805015.1
Group_206_2	XM_015949493	rna1052	LOC107378969	XP_015804979.1
Group_516_3	XM_015948985	rna994	LOC107378661	XP_015804471.1
Group_5400_0	XM_015948886	rna973	tex11	XP_015804372.1
Group_1748_0	XM_015948686	rna962	LOC107378466	XP_015804172.1
Group_885_3	XM_015948595	rna951	ccdc85b	XP_015804081.1
Group_2667_0	XM_015948561	rna949	yif1a	XP_015804047.1
Group_3012_1	XM_015948465	rna939	LOC107378322	XP_015803951.1
Group_444_5	XM_015948440	rna938	LOC107378306	XP_015803926.1
Group_2213_1	XM_015948216	rna900	xkrx	XP_015803702.1
Group_1826_1	XM_015948040	rna891	tmem255a	XP_015803526.1
Group_8_66	XM_015946579	rna749	LOC107377141	XP_015802065.1
Group_1500_0	XM_015945732	rna655	tlx3	XP_015801218.1
Group_987_2	XM_015944225	rna494	LOC107375611	XP_015799711.1
Group_474_2	XM_015943673	rna439	LOC107375248	XP_015799159.1
Group_129_14	XM_015943611	rna431	atp10b	XP_015799097.1
Group_1082_1	XM_015943253	rna397	zdhhc15	XP_015798739.1
Group_77_20	XM_015943240	rna395	abcb7	XP_015798726.1
Group_4240_0	XM_015943221	rna393	kiaa2022	XP_015798707.1
Group_8558_0	XM_015975225	rna35879	LOC107395772	XP_015830711.1
Group_207_7	XM_015971437	rna320	LOC107393191	XP_015826923.1
Group_863_2	XM_015942891	rna34	LOC107372317	XP_015798377.1
Group_462_7	XM_015975194	rna35855	LOC107395745	XP_015830680.1
Group_1106_2	XM_015972105	rna32801	ndel1	XP_015827591.1
Group_62_23	XM_015948490	rna9672	LOC107378341	XP_015803976.1
Group_307_4	XM_015948545	rna9724	LOC107378366	XP_015804031.1
Group_197_12	XM_015948557	rna9736	LOC107378376	XP_015804043.1
Group_557_2	XM_015948586	rna9764	LOC107378393	XP_015804072.1
Group_198_12	XM_015948599	rna9776	LOC107378402	XP_015804085.1
Group_1012_3	XM_015948623	rna9803	elfn1	XP_015804109.1
Group_6027_0	XM_015948630	rna9806	nudt1	XP_015804116.1
Group_154_17	XM_015948641	rna9823	LOC107378437	XP_015804127.1
Group_90_9	XM_015948648	rna9829	LOC107378441	XP_015804134.1
Group_94_0	XM_015948704	rna9878	LOC107378473	XP_015804190.1
Group_477_5	XM_015948791	rna9975	map3k3	XP_015804277.1
Group_164_9	XM_015948794	rna9978	LOC107378536	XP_015804280.1
Group_1226_0	XM_015948850	rna10038	LOC107378563	XP_015804336.1
Group_2139_1	XM_015953869	rna14989	kat2a	XP_015809355.1
Group_614_2	XM_015948924	rna10091	foxk2	XP_015804410.1
Group_22_48	XM_015949039	rna10119	ankrd28	XP_015804525.1
Group_8534_0	XM_015948969	rna10192	LOC107378652	XP_015804455.1
Group_5526_0	XM_015949089	rna10370	mal2	XP_015804575.1
Group_1681_2	XM_015975933	rna36582	clec3b	XP_015831419.1
Group_6572_0	XM_015949057	rna10401	pigv	XP_015804543.1
Group_262_8	XM_015949120	rna10331	irx2	XP_015804606.1
Group_262_9	XM_015949122	rna10329	irx1	XP_015804608.1
Group_64_0	XM_015949123	rna10326	adamts16	XP_015804609.1
Group_2805_0	XM_015949155	rna10297	ddc	XP_015804641.1
Group_5955_0	XM_015949192	rna10257	mdh2	XP_015804678.1
Group_4891_0	XM_015949255	rna10511	prdm13	XP_015804741.1
Group_181_6	XM_015949519	rna10699	aldh2	XP_015805005.1
Group_6709_0	XM_015949864	rna11021	elp6	XP_015805350.1
Group_1890_2	XM_015950025	rna11188	LOC107379316	XP_015805511.1
Group_692_0	XM_015950037	rna11200	LOC107379324	XP_015805523.1
Group_5635_0	XM_015950038	rna11201	dhdds	XP_015805524.1
Group_136_10	XM_015950059	rna11224	pou3f1	XP_015805545.1
Group_3007_0	XM_015950078	rna11243	eva1b	XP_015805564.1
Group_37_29	XM_015950084	rna11248	grik3	XP_015805570.1
Group_268_5	XM_015950102	rna11268	LOC107379378	XP_015805588.1
Group_444_6	XM_015950106	rna11271	LOC107379380	XP_015805592.1
Group_7723_0	XM_015950144	rna11307	nat14	XP_015805630.1
Group_0_160	XM_015950146	rna11308	znf628	XP_015805632.1
Group_395_3	XM_015950186	rna11349	kel	XP_015805672.1
Group_38_43	XM_015950223	rna11385	chd4	XP_015805709.1
Group_94_33	XM_015950226	rna11386	LOC107379462	XP_015805712.1
Group_2701_0	XM_015950230	rna11389	mlf2	XP_015805716.1
Group_7490_0	XM_015950232	rna11392	atn1	XP_015805718.1
Group_7698_0	XM_015950280	rna11438	abhd16a	XP_015805766.1
Group_327_1	XM_015950281	rna11440	LOC107379501	XP_015805767.1
Group_2439_1	XM_015950291	rna11451	cic	XP_015805777.1
Group_2771_1	XM_015950604	rna11568	cnot3	XP_015806090.1
Group_9105_0	XM_015950486	rna11774	LOC107379642	XP_015805972.1
Group_4644_0	XM_015950646	rna11675	gtpbp10	XP_015806132.1
Group_5002_0	XM_015950515	rna11800	fam188a	XP_015806001.1
Group_6597_0	XM_015965425	rna26292	mlycd	XP_015820911.1
Group_735_4	XM_015965415	rna26286	LOC107389327	XP_015820901.1
Group_1116_2	XM_015965211	rna26087	necab2	XP_015820697.1
Group_2497_0	XM_015964992	rna25864	LOC107389096	XP_015820478.1
Group_31_46	XM_015964984	rna25856	tspan9	XP_015820470.1
Group_739_1	XM_015964954	rna25826	tshz3	XP_015820440.1
Group_800_2	XM_015964836	rna25702	rassf7	XP_015820322.1
Group_2506_0	XM_015964806	rna25674	unc45a	XP_015820292.1
Group_8710_0	XM_015964791	rna25654	znf469	XP_015820277.1
Group_47_6	XM_015964789	rna25651	kras	XP_015820275.1
Group_1939_0	XM_015964720	rna25584	prr5	XP_015820206.1
Group_1612_2	XM_015964651	rna25519	LOC107388878	XP_015820137.1
Group_833_3	XM_015964644	rna25513	hgf	XP_015820130.1
Group_42_31	XM_015964629	rna25500	sema3d	XP_015820115.1
Group_403_2	XM_015964618	rna25493	LOC107388857	XP_015820104.1
Group_58_21	XM_015964569	rna25443	LOC107388834	XP_015820055.1
Group_7428_0	XM_015964568	rna25442	bbs10	XP_015820054.1
Group_91_13	XM_015964565	rna25439	vwf	XP_015820051.1
Group_2501_1	XM_015964511	rna25385	LOC107388802	XP_015819997.1
Group_1183_0	XM_015964501	rna25375	ankrd34c	XP_015819987.1
Group_5730_0	XM_015964474	rna25349	etfa	XP_015819960.1
Group_5717_0	XM_015964454	rna25330	ice2	XP_015819940.1
Group_50_0	XM_015964445	rna25318	LOC107388757	XP_015819931.1
Group_6513_0	XM_015964412	rna25293	man2c1	XP_015819898.1
Group_2865_1	XM_015964410	rna25285	stra6	XP_015819896.1
Group_257_1	XM_015964383	rna25249	smad3	XP_015819869.1
Group_6996_0	XM_015964379	rna25246	csgr13h15orf61	XP_015819865.1
Group_975_3	XM_015964375	rna25243	LOC107388708	XP_015819861.1
Group_373_2	XM_015964363	rna25234	LOC107388705	XP_015819849.1
Group_1952_1	XM_015964320	rna25193	LOC107388684	XP_015819806.1
Group_2582_0	XM_015964256	rna25125	fibin	XP_015819742.1
Group_228_1	XM_015964167	rna25032	LOC107388601	XP_015819653.1
Group_1185_3	XM_015964165	rna25030	LOC107388599	XP_015819651.1
Group_144_2	XM_015964134	rna25001	plxnb2	XP_015819620.1
Group_4250_0	XM_015964133	rna25000	tubgcp6	XP_015819619.1
Group_1653_1	XM_015964127	rna24992	dbx2	XP_015819613.1
Group_4185_0	XM_015964022	rna24937	cnot4	XP_015819508.1
Group_2561_0	XM_015964019	rna24933	LOC107388472	XP_015819505.1
Group_1816_2	XM_015964018	rna24932	LOC107388471	XP_015819504.1
Group_171_6	XM_015963879	rna24796	hapln3	XP_015819365.1
Group_1289_3	XM_015963995	rna24906	dhtkd1	XP_015819481.1
Group_369_4	XM_015966679	rna2684	LOC107390126	XP_015822165.1
Group_958_3	XM_015967755	rna2568	LOC107390813	XP_015823241.1
Group_2056_0	XM_015968857	rna2501	bptf	XP_015824343.1
Group_0_164	XM_015968265	rna2470	znf490	XP_015823751.1
Group_111_19	XM_015955644	rna16778	LOC107383169	XP_015811130.1
Group_150_9	XM_015955655	rna16796	LOC107383184	XP_015811141.1
Group_191_11	XM_015955934	rna17084	hoxa10	XP_015811420.1
Group_779_4	XM_015955941	rna17091	LOC107383378	XP_015811427.1
Group_5_15	XM_015955982	rna17140	col16a1	XP_015811468.1
Group_28_2	XM_015955986	rna17144	LOC107383398	XP_015811472.1
Group_50_26	XM_015956359	rna17643	klf2	XP_015811845.1
Group_23_13	XM_015956627	rna17754	LOC107383818	XP_015812113.1
Group_1461_2	XM_015956657	rna17783	cables1	XP_015812143.1
Group_6328_0	XM_015956674	rna17800	thoc1	XP_015812160.1
Group_5802_0	XM_015956742	rna17867	spidr	XP_015812228.1
Group_4054_0	XM_015956794	rna17915	wrnip1	XP_015812280.1
Group_13_54	XM_015956796	rna17916	LOC107383904	XP_015812282.1
Group_424_4	XM_015956815	rna17936	tns3	XP_015812301.1
Group_2104_1	XM_015956967	rna18092	ptch2	XP_015812453.1
Group_1271_2	XM_015957202	rna18325	LOC107384127	XP_015812688.1
Group_722_4	XM_015957206	rna18329	LOC107384132	XP_015812692.1
Group_3_112	XM_015957271	rna18390	rab2a	XP_015812757.1
Group_50_23	XM_015957344	rna18468	klf18	XP_015812830.1
Group_381_1	XM_015944006	rna5128	flrt3	XP_015799492.1
Group_62_10	XM_015943994	rna5141	jag1	XP_015799480.1
Group_7421_0	XM_015943992	rna5143	mkks	XP_015799478.1
Group_26_20	XM_015944012	rna5238	LOC107375466	XP_015799498.1
Group_6740_0	XM_015944121	rna5324	mocos	XP_015799607.1
Group_4111_0	XM_015944112	rna5337	ttl	XP_015799598.1
Group_3989_0	XM_015944424	rna5691	znf451	XP_015799910.1
Group_5655_0	XM_015944405	rna5677	xpo5	XP_015799891.1
Group_204_10	XM_015944370	rna5636	slc25a16	XP_015799856.1
Group_2333_1	XM_015944345	rna5612	crtac1	XP_015799831.1
Group_5079_1	XM_015976375	rna37038	fbxo9	XP_015831861.1
Group_1601_0	XM_015944181	rna5455	LOC107375593	XP_015799667.1
Group_4481_0	XM_015944617	rna5876	lrpprc	XP_015800103.1
Group_2379_0	XM_015944678	rna5935	LOC107375869	XP_015800164.1
Group_2022_1	XM_015944798	rna6059	bicc1	XP_015800284.1
Group_4652_0	XM_015944810	rna6070	ubac2	XP_015800296.1
Group_8194_0	XM_015944816	rna6073	mzt1	XP_015800302.1
Group_5570_0	XM_015944815	rna6074	bora	XP_015800301.1
Group_1433_1	XM_015944813	rna6075	dis3	XP_015800299.1
Group_1092_3	XM_015944820	rna6079	LOC107375968	XP_015800306.1
Group_98_23	XM_015944822	rna6081	agt	XP_015800308.1
Group_3411_0	XM_015944823	rna6082	LOC107375971	XP_015800309.1
Group_116_2	XM_015944849	rna6109	dhx32	XP_015800335.1
Group_525_1	XM_015944874	rna6132	ppp2r2d	XP_015800360.1
Group_919_2	XM_015944883	rna6142	sh3pxd2a	XP_015800369.1
Group_1714_5	XM_015944917	rna6174	LOC107376033	XP_015800403.1
Group_2111_0	XM_015945958	rna6384	LOC107376698	XP_015801444.1
Group_44_14	XM_015945117	rna6517	LOC107376164	XP_015800603.1
Group_419_3	XM_015945815	rna6523	tob1	XP_015801301.1
Group_1090_1	XM_015945724	rna6615	lmtk2	XP_015801210.1
Group_2188_0	XM_015945723	rna6616	LOC107376566	XP_015801209.1
Group_493_4	XM_015945715	rna6630	LOC107376561	XP_015801201.1
Group_5415_0	XM_015945714	rna6631	rai1	XP_015801200.1
Group_198_2	XM_015945691	rna6652	LOC107376544	XP_015801177.1
Group_1066_2	XM_015945653	rna6690	LOC107376523	XP_015801139.1
Group_8321_0	XM_015945604	rna6740	ccp110	XP_015801090.1
Group_2744_0	XM_015945583	rna6762	dnaja3	XP_015801069.1
Group_3_40	XM_015945107	rna6783	LOC107376156	XP_015800593.1
Group_111_0	XM_015945563	rna6784	LOC107376462	XP_015801049.1
Group_5982_0	XM_015945291	rna7070	ndufa6	XP_015800777.1
Group_32_23	XM_015945268	rna7093	ddx47	XP_015800754.1
Group_187_7	XM_015945262	rna7096	LOC107376254	XP_015800748.1
Group_7_41	XM_015975543	rna36214	LOC107396041	XP_015831029.1
Group_33_15	XM_015976013	rna36666	LOC107396344	XP_015831499.1
Group_8011_0	XM_015952144	rna13296	kcne4	XP_015807630.1
Group_5704_0	XM_015952029	rna13173	ilvbl	XP_015807515.1
Group_7080_0	XM_015952031	rna13172	fam118b	XP_015807517.1
Group_8046_0	XM_015951996	rna13141	LOC107380691	XP_015807482.1
Group_73_22	XM_015951842	rna13085	dscam	XP_015807328.1
Group_2231_1	XM_015951841	rna13084	bace2	XP_015807327.1
Group_8047_0	XM_015951933	rna13044	wdr49	XP_015807419.1
Group_7374_0	XM_015951770	rna13008	pid1	XP_015807256.1
Group_1675_0	XM_015951760	rna12996	rnf7	XP_015807246.1
Group_304_6	XM_015951734	rna12972	pde2a	XP_015807220.1
Group_382_8	XM_015951654	rna12876	LOC107380412	XP_015807140.1
Group_228_0	XM_015951647	rna12869	LOC107380406	XP_015807133.1
Group_1843_2	XM_015951628	rna12845	rilp	XP_015807114.1
Group_223_10	XM_015951558	rna12774	arhgef12	XP_015807044.1
Group_2674_1	XM_015951550	rna12765	LOC107380345	XP_015807036.1
Group_4666_1	XM_015951497	rna12714	mre11a	XP_015806983.1
Group_73_20	XM_015951485	rna12697	LOC107380311	XP_015806971.1
Group_6578_0	XM_015951476	rna12688	tmem160	XP_015806962.1
Group_280_7	XM_015951475	rna12687	npas1	XP_015806961.1
Group_1438_0	XM_015951474	rna12686	arhgap35	XP_015806960.1
Group_103_28	XM_015951453	rna12666	LOC107380286	XP_015806939.1
Group_192_0	XM_015951436	rna12650	map3k10	XP_015806922.1
Group_7205_0	XM_015951434	rna12646	csgr06h19orf47	XP_015806920.1
Group_529_2	XM_015951430	rna12642	fosb	XP_015806916.1
Group_2816_0	XM_015951386	rna12594	mab21l1	XP_015806872.1
Group_85_6	XM_015951360	rna12571	LOC107380224	XP_015806846.1
Group_2325_1	XM_015951331	rna12545	slc25a15	XP_015806817.1
Group_7289_0	XM_015951178	rna12394	csgr06h11orf57	XP_015806664.1
Group_1880_0	XM_015951151	rna12366	vps26b	XP_015806637.1
Group_1366_0	XM_015951103	rna12324	med13	XP_015806589.1
Group_2476_1	XM_015951025	rna12186	LOC107380027	XP_015806511.1
Group_75_9	XM_015950676	rna11815	capn5	XP_015806162.1
Group_3179_1	XM_015950678	rna11816	omp	XP_015806164.1
Group_116_6	XM_015943780	rna5074	dhx15	XP_015799266.1
Group_5705_0	XM_015943762	rna5057	helt	XP_015799248.1
Group_95_28	XM_015943658	rna4941	tacr3	XP_015799144.1
Group_6116_0	XM_015943632	rna4919	mettl14	XP_015799118.1
Group_358_8	XM_015943558	rna4844	pvalb	XP_015799044.1
Group_3125_1	XM_015943220	rna4490	aif1l	XP_015798706.1
Group_2889_0	XM_015943166	rna4445	LOC107374869	XP_015798652.1
Group_64_15	XM_015943095	rna4369	adamts6	XP_015798581.1
Group_598_5	XM_015943033	rna4306	map1b	XP_015798519.1
Group_6353_0	XM_015943032	rna4305	dolpp1	XP_015798518.1
Group_6452_0	XM_015942998	rna4270	rpl28	XP_015798484.1
Group_114_20	XM_015942983	rna4254	LOC107374748	XP_015798469.1
Group_1217_2	XM_015942861	rna4130	shc3	XP_015798347.1
Group_1163_4	XM_015942820	rna4088	LOC107374669	XP_015798306.1
Group_5074_0	XM_015942816	rna4084	nup214	XP_015798302.1
Group_442_2	XM_015942782	rna4067	LOC107374630	XP_015798268.1
Group_4346_0	XM_015942710	rna4056	znf618	XP_015798196.1
Group_1542_3	XM_015942495	rna4027	prdm12	XP_015797981.1
Group_4937_0	XM_015942483	rna4025	fbxw5	XP_015797969.1
Group_5297_0	XM_015942457	rna4022	LOC107374306	XP_015797943.1
Group_8108_0	XM_015942442	rna4020	tmem141	XP_015797928.1
Group_93_15	XM_015942276	rna4002	tbx3	XP_015797762.1
Group_3_113	XM_015942245	rna3999	LOC107374090	XP_015797731.1
Group_95_5	XM_015941358	rna3870	LOC107373190	XP_015796844.1
Group_99_2	XM_015940899	rna3812	LOC107372696	XP_015796385.1
Group_812_1	XM_015977145	rna3737	LOC107397213	XP_015832631.1
Group_37_15	XM_015976536	rna3665	LOC107396711	XP_015832022.1
Group_5070_0	XM_015974273	rna3443	slc38a9	XP_015829759.1
Group_2301_1	XM_015974302	rna3448	auh	XP_015829788.1
Group_680_3	XM_015974314	rna3449	nfil3	XP_015829800.1
Group_217_3	XM_015974466	rna3467	mfhas1	XP_015829952.1
Group_5052_0	XM_015970229	rna3309	csgr02h10orf76	XP_015825715.1
Group_2218_0	XM_015971622	rna3168	pi4k2b	XP_015827108.1
Group_1658_0	XM_015971635	rna3166	LOC107393345	XP_015827121.1
Group_8_57	XM_015972216	rna3103	LOC107393673	XP_015827702.1
Group_5487_0	XM_015966834	rna27659	kctd4	XP_015822320.1
Group_2225_1	XM_015966829	rna27653	LOC107390231	XP_015822315.1
Group_115_10	XM_015966827	rna27652	LOC107390230	XP_015822313.1
Group_2754_1	XM_015966726	rna27536	LOC107390162	XP_015822212.1
Group_1084_0	XM_015966720	rna27529	LOC107390158	XP_015822206.1
Group_1459_1	XM_015966660	rna27471	nme9	XP_015822146.1
Group_1727_0	XM_015966652	rna27468	tmem41a	XP_015822138.1
Group_88_0	XM_015966622	rna27435	kcnj3	XP_015822108.1
Group_133_1	XM_015966616	rna27428	acvr1	XP_015822102.1
Group_93_1	XM_015966580	rna27391	tbr1	XP_015822066.1
Group_164_6	XM_015966571	rna27382	kcnh7	XP_015822057.1
Group_1000_0	XM_015966567	rna27378	grb14	XP_015822053.1
Group_4303_1	XM_015966557	rna27369	ttc21b	XP_015822043.1
Group_185_4	XM_015966491	rna27307	dlx1	XP_015821977.1
Group_6445_0	XM_015966487	rna27302	nup62	XP_015821973.1
Group_1711_2	XM_015966480	rna27294	cdca7	XP_015821966.1
Group_50_4	XM_015966474	rna27290	sp9	XP_015821960.1
Group_718_6	XM_015966465	rna27283	atf2	XP_015821951.1
Group_676_2	XM_015966452	rna27268	nfe2l2	XP_015821938.1
Group_8_59	XM_015966396	rna27211	LOC107389959	XP_015821882.1
Group_8_72	XM_015966395	rna27210	LOC107389958	XP_015821881.1
Group_6963_0	XM_015966353	rna27170	gpr143	XP_015821839.1
Group_923_4	XM_015966340	rna27158	LOC107389925	XP_015821826.1
Group_60_35	XM_015966337	rna27154	ackr3	XP_015821823.1
Group_3822_0	XM_015966282	rna27122	lrrc58	XP_015821768.1
Group_528_4	XM_015966256	rna27097	irs2	XP_015821742.1
Group_51_23	XM_015966243	rna27086	LOC107389844	XP_015821729.1
Group_2976_1	XM_015966234	rna27078	LOC107389840	XP_015821720.1
Group_824_3	XM_015966178	rna27028	LOC107389812	XP_015821664.1
Group_582_3	XM_015966173	rna27024	LOC107389810	XP_015821659.1
Group_273_3	XM_015966166	rna27018	LOC107389806	XP_015821652.1
Group_731_4	XM_015966164	rna27015	LOC107389804	XP_015821650.1
Group_578_4	XM_015966140	rna26992	mgat4a	XP_015821626.1
Group_1796_1	XM_015966109	rna26964	LOC107389771	XP_015821595.1
Group_391_3	XM_015966110	rna26963	kpna3	XP_015821596.1
Group_805_5	XM_015966098	rna26950	il1rapl1	XP_015821584.1
Group_795_2	XM_015966093	rna26949	filip1l	XP_015821579.1
Group_1030_2	XM_015966096	rna26947	LOC107389760	XP_015821582.1
Group_1318_3	XM_015966086	rna26939	abi3bp	XP_015821572.1
Group_5444_0	XM_015966079	rna26931	atp6ap2	XP_015821565.1
Group_6386_0	XM_015966035	rna26892	cln5	XP_015821521.1
Group_1745_1	XM_015966034	rna26890	acod1	XP_015821520.1
Group_4129_0	XM_015965989	rna26847	clybl	XP_015821475.1
Group_153_2	XM_015965987	rna26845	zic5	XP_015821473.1
Group_674_4	XM_015965986	rna26841	tmtc4	XP_015821472.1
Group_5341_0	XM_015965981	rna26836	itgbl1	XP_015821467.1
Group_2198_0	XM_015965970	rna26825	LOC107389704	XP_015821456.1
Group_5585_0	XM_015965965	rna26820	med14	XP_015821451.1
Group_4118_1	XM_015965964	rna26812	rpl8	XP_015821450.1
Group_8213_0	XM_015965917	rna26761	LOC107389664	XP_015821403.1
Group_4763_1	XM_015965914	rna26753	dirc2	XP_015821400.1
Group_2126_1	XM_015965904	rna26748	sec22a	XP_015821390.1
Group_1359_2	XM_015965874	rna26718	LOC107389635	XP_015821360.1
Group_6810_1	XM_015965836	rna26682	wars2	XP_015821322.1
Group_272_0	XM_015965828	rna26674	man1a2	XP_015821314.1
Group_111_11	XM_015952682	rna13510	sox1	XP_015808168.1
Group_232_5	XM_015952548	rna13639	slitrk6	XP_015808034.1
Group_2962_0	XM_015952451	rna13736	mmadhc	XP_015807937.1
