rna0	XM_015955279
rna3807	XM_015940867
rna3808	XM_015940883
rna3809	XM_015940876
rna3810	XM_015940889
rna3811	XM_015940894
rna3812	XM_015940899
rna3813	XM_015940906
rna3814	XM_015940918
rna3815	XM_015940924
rna3816	XM_015940932
rna3817	XM_015940942
rna3818	XM_015940951
rna3819	XM_015940960
rna3820	XM_015940970
rna3821	XM_015940979
rna3822	XM_015940990
rna3823	XM_015943177
rna3824	XM_015941002
rna3825	XM_015940998
rna3826	XM_015941011
rna3827	XM_015941020
rna3828	XM_015941028
rna3829	XM_015941039
rna3830	XM_015941048
rna3831	XM_015941056
rna3832	XM_015941072
rna3833	XM_015941064
rna3834	XM_015941082
rna3835	XM_015941089
rna3836	XM_015941098
rna3837	XM_015941107
rna3838	XM_015941136
rna3839	XM_015941128
rna3840	XM_015941119
rna3841	XM_015941144
rna3842	XM_015941153
rna3843	XM_015941182
rna3844	XM_015941176
rna3845	XM_015941169
rna3846	XM_015941161
rna3847	XM_015941191
rna3848	XM_015941208
rna3849	XM_015941202
rna3851	XM_015941215
rna3852	XM_015941228
rna3853	XM_015941234
rna3854	XM_015974854
rna3855	XM_015941243
rna3856	XM_015941253
rna3857	XM_015941276
rna3858	XM_015941270
rna3859	XM_015941286
rna3860	XM_015941301
rna3861	XM_015941295
rna3862	XM_015941312
rna3863	XM_015941304
rna3864	XM_015941317
rna3865	XM_015941322
rna3866	XM_015941335
rna3867	XM_015941331
rna3868	XM_015941340
rna3869	XM_015941349
rna3870	XM_015941358
rna3871	XM_015941365
rna3872	XM_015941381
rna3873	XM_015941375
rna3874	XM_015941392
rna3875	XM_015941399
rna3876	XM_015941404
rna3877	XM_015941419
rna3878	XM_015941410
rna3879	XM_015941442
rna3882	XM_015941425
rna3883	XM_015941432
rna3884	XM_015941449
rna3885	XM_015941459
rna3886	XM_015941463
rna3887	XM_015974863
rna3894	XM_015941473
rna3895	XM_015941526
rna3896	XM_015941503
rna3897	XM_015941508
rna3898	XM_015941515
rna3900	XM_015941497
rna3901	XM_015941492
rna3902	XM_015941535
rna3903	XM_015941543
rna3904	XM_015941539
rna3905	XM_015941552
rna3906	XM_015941561
rna3907	XM_015941569
rna3908	XM_015941573
rna3909	XM_015941578
rna3910	XM_015941585
rna3911	XM_015941590
rna3912	XM_015941606
rna3913	XM_015941600
rna3914	XM_015941611
rna3916	XM_015941625
rna3917	XM_015941617
rna3918	XM_015941634
rna3919	XM_015941628
rna3920	XM_015941650
rna3921	XM_015941645
rna3922	XM_015941655
rna3923	XM_015941673
rna3924	XM_015941666
rna3925	XM_015941683
rna3926	XM_015941705
rna3927	XM_015941696
rna3931	XM_015943178
rna3932	XM_015941730
rna3933	XM_015941750
rna3934	XM_015941741
rna3936	XM_015941774
rna3937	XM_015941785
rna3938	XM_015941765
rna3939	XM_015941793
rna3940	XM_015941803
rna3941	XM_015941812
rna3942	XM_015941818
rna3943	XM_015941827
rna3944	XM_015941840
rna3945	XM_015941848
rna3946	XM_015941854
rna3947	XM_015941862
rna3948	XM_015941865
rna3949	XM_015941874
rna3950	XM_015941891
rna3951	XM_015941885
rna3952	XM_015941900
rna3953	XM_015941905
rna3954	XM_015941914
rna3955	XM_015974874
rna3956	XM_015941924
rna3957	XM_015941922
rna3958	XM_015941934
rna3960	XM_015941945
rna3961	XM_015941975
rna3962	XM_015941981
rna3963	XM_015941952
rna3964	XM_015941966
rna3965	XM_015941960
rna3966	XM_015941957
rna3968	XM_015941997
rna3969	XM_015942018
rna3970	XM_015942006
rna3971	XM_015942012
rna3972	XM_015942036
rna3973	XM_015942043
rna3974	XM_015942025
rna3975	XM_015942063
rna3976	XM_015942060
rna3977	XM_015942056
rna3978	XM_015942071
rna3979	XM_015942078
rna3980	XM_015942087
rna3981	XM_015942092
rna3982	XM_015942099
rna3983	XM_015942107
rna3984	XM_015942112
rna3985	XM_015942116
rna3986	XM_015942144
rna3987	XM_015942152
rna3988	XM_015942124
rna3989	XM_015942133
rna3990	XM_015942166
rna3991	XM_015942173
rna3992	XM_015942184
rna3993	XM_015942204
rna3994	XM_015942195
rna3995	XM_015942192
rna3996	XM_015942237
rna3997	XM_015942218
rna3998	XM_015942224
rna3999	XM_015942245
rna4000	XM_015942265
rna4001	XM_015942283
rna4002	XM_015942276
rna4005	XM_015942318
rna4006	XM_015942327
rna4007	XM_015942311
rna4008	XM_015942336
rna4009	XM_015942353
rna4010	XM_015942358
rna4011	XM_015942369
rna4012	XM_015942380
rna4013	XM_015942392
rna4014	XM_015942398
rna4015	XM_015942403
rna4016	XM_015942413
rna4017	XM_015974905
rna4018	XM_015942434
rna4019	XM_015942426
rna4020	XM_015942442
rna4021	XM_015942450
rna4022	XM_015942457
rna4023	XM_015942468
rna4024	XM_015942475
rna4025	XM_015942483
rna4027	XM_015942495
rna4028	XM_015942505
rna4029	XM_015942515
rna4030	XM_015942523
rna4031	XM_015942530
rna4032	XM_015942540
rna4033	XM_015942568
rna4034	XM_015942557
rna4035	XM_015942548
rna4036	XM_015942576
rna4037	XM_015942589
rna4038	XM_015942596
rna4039	XM_015942582
rna4041	XM_015942665
rna4042	XM_015942659
rna4043	XM_015942624
rna4044	XM_015942653
rna4045	XM_015942648
rna4046	XM_015942641
rna4047	XM_015942613
rna4048	XM_015942633
rna4049	XM_015942619
rna4050	XM_015942607
rna4051	XM_015942673
rna4052	XM_015942684
rna4053	XM_015942691
rna4055	XM_015942701
rna4056	XM_015942710
rna4057	XM_015942726
rna4058	XM_015942721
rna4059	XM_015942745
rna4060	XM_015942714
rna4061	XM_015942733
rna4062	XM_015942740
rna4063	XM_015942754
rna4064	XM_015942759
rna4065	XM_015942766
rna4066	XM_015942775
rna4067	XM_015942782
rna4068	XM_015942788
rna4070	XM_015942799
rna4071	XM_015942803
rna4072	XM_015942802
rna4073	XM_015942805
rna4074	XM_015942804
rna4075	XM_015942806
rna4076	XM_015942808
rna4077	XM_015942807
rna4078	XM_015942809
rna4079	XM_015942811
rna4080	XM_015942812
rna4081	XM_015942813
rna4082	XM_015942814
rna4083	XM_015942815
rna4084	XM_015942816
rna4085	XM_015942817
rna4086	XM_015942819
rna4087	XM_015942818
rna4088	XM_015942820
rna4089	XM_015942821
rna4090	XM_015942822
rna4091	XM_015942824
rna4092	XM_015942825
rna4093	XM_015942826
rna4094	XM_015942828
rna4095	XM_015942827
rna4096	XM_015942830
rna4097	XM_015942829
rna4098	XM_015942831
rna4099	XM_015942832
rna4100	XM_015942834
rna4101	XM_015942833
rna4102	XM_015942836
rna4103	XM_015942856
rna4104	XM_015942848
rna4105	XM_015942842
rna4106	XM_015942841
rna4107	XM_015942839
rna4108	XM_015942847
rna4109	XM_015942840
rna4110	XM_015942838
rna4111	XM_015942846
rna4112	XM_015942837
rna4113	XM_015942845
rna4114	XM_015942849
rna4115	XM_015942843
rna4116	XM_015942850
rna4117	XM_015942844
rna4121	XM_015942851
rna4122	XM_015942852
rna4123	XM_015942855
rna4124	XM_015942854
rna4125	XM_015942853
rna4126	XM_015942860
rna4127	XM_015942859
rna4128	XM_015942857
rna4129	XM_015942858
rna4130	XM_015942861
rna4131	XM_015942865
rna4132	XM_015942864
rna4133	XM_015942863
rna4134	XM_015942862
rna4136	XM_015942867
rna4137	XM_015942866
rna4139	XM_015942870
rna4140	XM_015942868
rna4141	XM_015942869
rna4143	XM_015942871
rna4144	XM_015942872
rna4145	XM_015942875
rna4146	XM_015942874
rna4147	XM_015942873
rna4148	XM_015942876
rna4149	XM_015942877
rna4150	XM_015942878
rna4151	XM_015942879
rna4152	XM_015942880
rna4153	XM_015942882
rna4154	XM_015942886
rna4155	XM_015942887
rna4156	XM_015942888
rna4157	XM_015942889
rna4158	XM_015942883
rna4159	XM_015942884
rna4160	XM_015942885
rna4161	XM_015942896
rna4162	XM_015942897
rna4164	XM_015942898
rna4165	XM_015942892
rna4166	XM_015942890
rna4167	XM_015942894
rna4168	XM_015942893
rna4169	XM_015942895
rna4170	XM_015942899
rna4171	XM_015942900
rna4172	XM_015942901
rna4173	XM_015942903
rna4174	XM_015942902
rna4175	XM_015942905
rna4176	XM_015942904
rna4177	XM_015942906
rna4178	XM_015942908
rna4179	XM_015942909
rna4180	XM_015942907
rna4181	XM_015942910
rna4182	XM_015942911
rna4183	XM_015942912
rna4184	XM_015942913
rna4185	XM_015942915
rna4186	XM_015942914
rna4188	XM_015942917
rna4189	XM_015942916
rna4190	XM_015942918
rna4191	XM_015942920
rna4192	XM_015942922
rna4193	XM_015942921
rna4194	XM_015942926
rna4195	XM_015942925
rna4196	XM_015942928
rna4197	XM_015942929
rna4198	XM_015942924
rna4199	XM_015942923
rna4200	XM_015942927
rna4201	XM_015942930
rna4202	XM_015942931
rna4203	XM_015942933
rna4204	XM_015942935
rna4205	XM_015942934
rna4206	XM_015942936
rna4207	XM_015942937
rna4208	XM_015942938
rna4209	XM_015942939
rna4210	XM_015942940
rna4211	XM_015942943
rna4212	XM_015942948
rna4213	XM_015942944
rna4214	XM_015942946
rna4215	XM_015942947
rna4216	XM_015942941
rna4217	XM_015942942
rna4218	XM_015942954
rna4219	XM_015942953
rna4220	XM_015942950
rna4221	XM_015942949
rna4222	XM_015942952
rna4223	XM_015942951
rna4225	XM_015942955
rna4226	XM_015942956
rna4227	XM_015942958
rna4228	XM_015942957
rna4229	XM_015942960
rna4230	XM_015942959
rna4231	XM_015942964
rna4232	XM_015942961
rna4233	XM_015942962
rna4234	XM_015942963
rna4235	XM_015942965
rna4236	XM_015942967
rna4237	XM_015942966
rna4238	XM_015942968
rna4239	XM_015942974
rna4240	XM_015942972
rna4241	XM_015942973
rna4242	XM_015942971
rna4243	XM_015942970
rna4244	XM_015974922
rna4245	XM_015974932
rna4246	XM_015974941
rna4247	XM_015942976
rna4248	XM_015942977
rna4249	XM_015942975
rna4250	XM_015942978
rna4251	XM_015942979
rna4252	XM_015942980
rna4253	XM_015942981
rna4254	XM_015942983
rna4255	XM_015942984
rna4256	XM_015942986
rna4257	XM_015942989
rna4258	XM_015942985
rna4259	XM_015942988
rna4260	XM_015942987
rna4262	XM_015942990
rna4263	XM_015974950
rna4264	XM_015942992
rna4265	XM_015942991
rna4266	XM_015942993
rna4267	XM_015942994
rna4268	XM_015942995
rna4269	XM_015942996
rna4270	XM_015942998
rna4271	XM_015942997
rna4272	XM_015943001
rna4273	XM_015943000
rna4274	XM_015942999
rna4275	XM_015974962
rna4276	XM_015943002
rna4277	XM_015943003
rna4278	XM_015943004
rna4279	XM_015943005
rna4280	XM_015943006
rna4281	XM_015943007
rna4282	XM_015974975
rna4283	XM_015943008
rna4284	XM_015943013
rna4285	XM_015943014
rna4286	XM_015943009
rna4287	XM_015943011
rna4288	XM_015943012
rna4289	XM_015943010
rna4290	XM_015943015
rna4291	XM_015943017
rna4292	XM_015943018
rna4293	XM_015943019
rna4294	XM_015943020
rna4295	XM_015943028
rna4296	XM_015943023
rna4297	XM_015943022
rna4298	XM_015943021
rna4299	XM_015943027
rna4300	XM_015943025
rna4301	XM_015943026
rna4302	XM_015943024
rna4303	XM_015943031
rna4304	XM_015943030
rna4305	XM_015943032
rna4306	XM_015943033
rna4307	XM_015943034
rna4308	XM_015943035
rna4309	XM_015943036
rna4310	XM_015943037
rna4312	XM_015943042
rna4313	XM_015943043
rna4314	XM_015943038
rna4315	XM_015943039
rna4316	XM_015943041
rna4317	XM_015943044
rna4319	XM_015943046
rna4320	XM_015943045
rna4321	XM_015943055
rna4322	XM_015943054
rna4323	XM_015943049
rna4324	XM_015943047
rna4325	XM_015943048
rna4326	XM_015943050
rna4327	XM_015943051
rna4329	XM_015943058
rna4330	XM_015943056
rna4331	XM_015943057
rna4332	XM_015943059
rna4333	XM_015943061
rna4334	XM_015943060
rna4335	XM_015943062
rna4336	XM_015943064
rna4337	XM_015943063
rna4338	XM_015943066
rna4339	XM_015943067
rna4340	XM_015943068
rna4341	XM_015943069
rna4342	XM_015943070
rna4343	XM_015943071
rna4344	XM_015943075
rna4345	XM_015943074
rna4346	XM_015943072
rna4347	XM_015943073
rna4348	XM_015943076
rna4349	XM_015943082
rna4350	XM_015943084
rna4351	XM_015943083
rna4352	XM_015943079
rna4355	XM_015943080
rna4356	XM_015943077
rna4357	XM_015943081
rna4358	XM_015943089
rna4359	XM_015943088
rna4360	XM_015943090
rna4361	XM_015943086
rna4362	XM_015943085
rna4363	XM_015943087
rna4364	XM_015943091
rna4365	XM_015943092
rna4366	XM_015943093
rna4368	XM_015943094
rna4369	XM_015943095
rna4370	XM_015943097
rna4371	XM_015943098
rna4372	XM_015943096
rna4373	XM_015943099
rna4375	XM_015943100
rna4376	XM_015943101
rna4377	XM_015943102
rna4379	XM_015943103
rna4380	XM_015943104
rna4383	XM_015943105
rna4384	XM_015943107
rna4385	XM_015943106
rna4387	XM_015943108
rna4388	XM_015943109
rna4389	XM_015943110
rna4391	XM_015943111
rna4392	XM_015943112
rna4393	XM_015943113
rna4394	XM_015943180
rna4395	XM_015943114
rna4396	XM_015943115
rna4397	XM_015943116
rna4398	XM_015943117
rna4399	XM_015943118
rna4400	XM_015943119
rna4401	XM_015943121
rna4402	XM_015943122
rna4403	XM_015943123
rna4404	XM_015943124
rna4405	XM_015943125
rna4406	XM_015943128
rna4407	XM_015943127
rna4408	XM_015943126
rna4409	XM_015943130
rna4410	XM_015943129
rna4411	XM_015943131
rna4412	XM_015943133
rna4413	XM_015943134
rna4414	XM_015943135
rna4415	XM_015943136
rna4416	XM_015943138
rna4417	XM_015943137
rna4418	XM_015943139
rna4419	XM_015943141
rna4420	XM_015943140
rna4421	XM_015943142
rna4422	XM_015943145
rna4423	XM_015943143
rna4424	XM_015943144
rna4425	XM_015943146
rna4426	XM_015943148
rna4427	XM_015943147
rna4428	XM_015943151
rna4429	XM_015943152
rna4430	XM_015943150
rna4431	XM_015943153
rna4432	XM_015943149
rna4433	XM_015943154
rna4434	XM_015943155
rna4435	XM_015943156
rna4436	XM_015943158
rna4437	XM_015943159
rna4438	XM_015943160
rna4439	XM_015943161
rna4440	XM_015943163
rna4441	XM_015943162
rna4442	XM_015943165
rna4443	XM_015943164
rna4444	XM_015943167
rna4445	XM_015943166
rna4446	XM_015943168
rna4447	XM_015943170
rna4448	XM_015943171
rna4449	XM_015943172
rna4450	XM_015943181
rna4451	XM_015943185
rna4452	XM_015943184
rna4453	XM_015943186
rna4454	XM_015943191
rna4455	XM_015943190
rna4456	XM_015943187
rna4457	XM_015943189
rna4458	XM_015943192
rna4459	XM_015943193
rna4460	XM_015943194
rna4461	XM_015943195
rna4462	XM_015943196
rna4463	XM_015943198
rna4464	XM_015943199
rna4465	XM_015943197
rna4466	XM_015943202
rna4467	XM_015943200
rna4468	XM_015943203
rna4469	XM_015943182
rna4470	XM_015943204
rna4471	XM_015943205
rna4472	XM_015943206
rna4476	XM_015943207
rna4477	XM_015943208
rna4478	XM_015943210
rna4479	XM_015943209
rna4480	XM_015943212
rna4481	XM_015943213
rna4482	XM_015943214
rna4483	XM_015943215
rna4484	XM_015943216
rna4485	XM_015943217
rna4486	XM_015943218
rna4489	XM_015943219
rna4490	XM_015943220
rna4491	XM_015943222
rna4493	XM_015943223
rna4494	XM_015943224
rna4495	XM_015943227
rna4496	XM_015943226
rna4497	XM_015943225
rna4498	XM_015943228
rna4499	XM_015943229
rna4501	XM_015943231
rna4502	XM_015943233
rna4503	XM_015943230
rna4504	XM_015943232
rna4505	XM_015943235
rna4506	XM_015943234
rna4507	XM_015943236
rna4508	XM_015943237
rna4509	XM_015943239
rna4510	XM_015943238
rna4512	XM_015943242
rna4513	XM_015943241
rna4515	XM_015943244
rna4516	XM_015943243
rna4517	XM_015943249
rna4518	XM_015943247
rna4519	XM_015943246
rna4520	XM_015943248
rna4521	XM_015943245
rna4522	XM_015943250
rna4523	XM_015943251
rna4524	XM_015943252
rna4525	XM_015943254
rna4527	XM_015943257
rna4528	XM_015943256
rna4529	XM_015943255
rna4532	XM_015943258
rna4533	XM_015943259
rna4534	XM_015943263
rna4535	XM_015943261
rna4536	XM_015943183
rna4537	XM_015943262
rna4538	XM_015943264
rna4539	XM_015943265
rna4540	XM_015943266
rna4541	XM_015943267
rna4542	XM_015943271
rna4543	XM_015943273
rna4544	XM_015943268
rna4545	XM_015943269
rna4546	XM_015943270
rna4549	XM_015943276
rna4550	XM_015943275
rna4551	XM_015943274
rna4552	XM_015943283
rna4553	XM_015943282
rna4554	XM_015943284
rna4555	XM_015943277
rna4556	XM_015943278
rna4557	XM_015943280
rna4558	XM_015943281
rna4559	XM_015943279
rna4561	XM_015943285
rna4562	XM_015943288
rna4563	XM_015943286
rna4564	XM_015943287
rna4565	XM_015943289
rna4566	XM_015943290
rna4567	XM_015943296
rna4568	XM_015943295
rna4569	XM_015943294
rna4570	XM_015943292
rna4571	XM_015943293
rna4572	XM_015943291
rna4573	XM_015943297
rna4574	XM_015943298
rna4575	XM_015943299
rna4576	XM_015943301
rna4577	XM_015943300
rna4578	XM_015943302
rna4579	XM_015943304
rna4580	XM_015943305
rna4581	XM_015943306
rna4582	XM_015943308
rna4583	XM_015943309
rna4584	XM_015943310
rna4585	XM_015943311
rna4587	XM_015943312
rna4588	XM_015943313
rna4589	XM_015943316
rna4590	XM_015943314
rna4591	XM_015943317
rna4592	XM_015943318
rna4593	XM_015943320
rna4594	XM_015943319
rna4595	XM_015943325
rna4596	XM_015943323
rna4597	XM_015943322
rna4598	XM_015943321
rna4599	XM_015943326
rna4600	XM_015943328
rna4601	XM_015943327
rna4602	XM_015943329
rna4603	XM_015943330
rna4604	XM_015943331
rna4605	XM_015943334
rna4606	XM_015943332
rna4607	XM_015943333
rna4608	XM_015943335
rna4609	XM_015943336
rna4610	XM_015943337
rna4611	XM_015943338
rna4612	XM_015943340
rna4613	XM_015943341
rna4614	XM_015943342
rna4615	XM_015943344
rna4616	XM_015943343
rna4617	XM_015943339
rna4618	XM_015943347
rna4619	XM_015943349
rna4620	XM_015943348
rna4621	XM_015943351
rna4622	XM_015943350
rna4623	XM_015943345
rna4624	XM_015943346
rna4625	XM_015943353
rna4626	XM_015943352
rna4627	XM_015943354
rna4628	XM_015943356
rna4629	XM_015943355
rna4649	XM_015943358
rna4650	XM_015943359
rna4653	XM_015943360
rna4654	XM_015943361
rna4655	XM_015943362
rna4656	XM_015943363
rna4657	XM_015943382
rna4658	XM_015943383
rna4659	XM_015943384
rna4660	XM_015943385
rna4661	XM_015943386
rna4662	XM_015943364
rna4663	XM_015943387
rna4664	XM_015943388
rna4665	XM_015943389
rna4666	XM_015943390
rna4667	XM_015943391
rna4668	XM_015943394
rna4669	XM_015943392
rna4670	XM_015943395
rna4671	XM_015943396
rna4673	XM_015943397
rna4674	XM_015943398
rna4675	XM_015943827
rna4676	XM_015943399
rna4677	XM_015943400
rna4679	XM_015943401
rna4680	XM_015943403
rna4681	XM_015943404
rna4682	XM_015943407
rna4683	XM_015943405
rna4684	XM_015943406
rna4685	XM_015943365
rna4686	XM_015943408
rna4687	XM_015943409
rna4688	XM_015943411
rna4689	XM_015943410
rna4690	XM_015943412
rna4691	XM_015943414
rna4692	XM_015943413
rna4693	XM_015943417
rna4694	XM_015943416
rna4696	XM_015943418
rna4697	XM_015943419
rna4699	XM_015943423
rna4700	XM_015943421
rna4701	XM_015943420
rna4702	XM_015943422
rna4703	XM_015943424
rna4704	XM_015943425
rna4705	XM_015943367
rna4706	XM_015943426
rna4707	XM_015943368
rna4708	XM_015943431
rna4709	XM_015943428
rna4710	XM_015943429
rna4711	XM_015943430
rna4712	XM_015943432
rna4714	XM_015943433
rna4715	XM_015943437
rna4716	XM_015943434
rna4717	XM_015943435
rna4718	XM_015943436
rna4719	XM_015943439
rna4720	XM_015943440
rna4722	XM_015943441
rna4723	XM_015943442
rna4724	XM_015943446
rna4725	XM_015943444
rna4726	XM_015943445
rna4727	XM_015943443
rna4730	XM_015943447
rna4731	XM_015943449
rna4732	XM_015943450
rna4733	XM_015943451
rna4734	XM_015943458
rna4735	XM_015943453
rna4736	XM_015943452
rna4737	XM_015943454
rna4738	XM_015943457
rna4739	XM_015943455
rna4740	XM_015943456
rna4742	XM_015943459
rna4744	XM_015943461
rna4745	XM_015943463
rna4746	XM_015943462
rna4747	XM_015943829
rna4748	XM_015943464
rna4749	XM_015943465
rna4750	XM_015943369
rna4751	XM_015943466
rna4752	XM_015943467
rna4753	XM_015943469
rna4754	XM_015943370
rna4755	XM_015943471
rna4757	XM_015943470
rna4758	XM_015943371
rna4759	XM_015943473
rna4760	XM_015943472
rna4761	XM_015943474
rna4762	XM_015943475
rna4763	XM_015943476
rna4764	XM_015943477
rna4765	XM_015943478
rna4766	XM_015943480
rna4767	XM_015943481
rna4768	XM_015943483
rna4769	XM_015943482
rna4770	XM_015943484
rna4771	XM_015943490
rna4772	XM_015943493
rna4773	XM_015943492
rna4774	XM_015943485
rna4775	XM_015943486
rna4776	XM_015943487
rna4777	XM_015943488
rna4778	XM_015943489
rna4779	XM_015943372
rna4780	XM_015943494
rna4781	XM_015943497
rna4782	XM_015943496
rna4783	XM_015943495
rna4784	XM_015943498
rna4786	XM_015943499
rna4787	XM_015943500
rna4788	XM_015943501
rna4789	XM_015943502
rna4790	XM_015943503
rna4791	XM_015943504
rna4792	XM_015943505
rna4793	XM_015943506
rna4794	XM_015943507
rna4795	XM_015943508
rna4796	XM_015943509
rna4797	XM_015943510
rna4798	XM_015943511
rna4799	XM_015943374
rna4800	XM_015943518
rna4801	XM_015943513
rna4802	XM_015943515
rna4803	XM_015943516
rna4804	XM_015943517
rna4805	XM_015943512
rna4806	XM_015943519
rna4807	XM_015943520
rna4808	XM_015943521
rna4809	XM_015943522
rna4810	XM_015943523
rna4811	XM_015943524
rna4812	XM_015943525
rna4813	XM_015943528
rna4814	XM_015943526
rna4815	XM_015943531
rna4816	XM_015943530
rna4817	XM_015943529
rna4818	XM_015943532
rna4819	XM_015943533
rna4820	XM_015943534
rna4821	XM_015943535
rna4822	XM_015943539
rna4823	XM_015943538
rna4825	XM_015943537
rna4826	XM_015943541
rna4827	XM_015943540
rna4828	XM_015943542
rna4829	XM_015943543
rna4830	XM_015943544
rna4831	XM_015943547
rna4832	XM_015943545
rna4833	XM_015943546
rna4834	XM_015943549
rna4835	XM_015943830
rna4836	XM_015943550
rna4837	XM_015943551
rna4838	XM_015943552
rna4839	XM_015943553
rna4840	XM_015943554
rna4841	XM_015943555
rna4842	XM_015943556
rna4843	XM_015943557
rna4844	XM_015943558
rna4845	XM_015943559
rna4846	XM_015943561
rna4847	XM_015943563
rna4848	XM_015943375
rna4849	XM_015943564
rna4850	XM_015943562
rna4851	XM_015943565
rna4852	XM_015943566
rna4853	XM_015943567
rna4854	XM_015943568
rna4855	XM_015943569
rna4856	XM_015943570
rna4857	XM_015943573
rna4858	XM_015943574
rna4859	XM_015943571
rna4860	XM_015943580
rna4861	XM_015943579
rna4862	XM_015943576
rna4863	XM_015943575
rna4864	XM_015943577
rna4865	XM_015943578
rna4866	XM_015943582
rna4867	XM_015943581
rna4868	XM_015943583
rna4870	XM_015943585
rna4871	XM_015943586
rna4872	XM_015943589
rna4873	XM_015943587
rna4874	XM_015943592
rna4875	XM_015943593
rna4876	XM_015943594
rna4877	XM_015943595
rna4878	XM_015943596
rna4879	XM_015943588
rna4880	XM_015943591
rna4881	XM_015943590
rna4882	XM_015943597
rna4883	XM_015943598
rna4884	XM_015943600
rna4885	XM_015943601
rna4886	XM_015943602
rna4887	XM_015943603
rna4888	XM_015943604
rna4889	XM_015943606
rna4890	XM_015943605
rna4891	XM_015943607
rna4892	XM_015943608
rna4893	XM_015943609
rna4894	XM_015943612
rna4897	XM_015943615
rna4898	XM_015943613
rna4899	XM_015943614
rna4900	XM_015943616
rna4901	XM_015943617
rna4902	XM_015943618
rna4903	XM_015943619
rna4904	XM_015943620
rna4905	XM_015943621
rna4906	XM_015943623
rna4907	XM_015943376
rna4908	XM_015943633
rna4909	XM_015943631
rna4910	XM_015943630
rna4911	XM_015943629
rna4912	XM_015943635
rna4913	XM_015943626
rna4914	XM_015943624
rna4915	XM_015943628
rna4916	XM_015943625
rna4917	XM_015943627
rna4918	XM_015943636
rna4919	XM_015943632
rna4920	XM_015943637
rna4921	XM_015943638
rna4922	XM_015943639
rna4923	XM_015943640
rna4924	XM_015943644
rna4927	XM_015943645
rna4928	XM_015943643
rna4929	XM_015943642
rna4931	XM_015943646
rna4932	XM_015943647
rna4933	XM_015943648
rna4934	XM_015943651
rna4935	XM_015943650
rna4936	XM_015943649
rna4937	XM_015943656
rna4938	XM_015943654
rna4939	XM_015943655
rna4940	XM_015943653
rna4941	XM_015943658
rna4943	XM_015943657
rna4944	XM_015943661
rna4945	XM_015943659
rna4946	XM_015943660
rna4947	XM_015943662
rna4948	XM_015943664
rna4957	XM_015943832
rna4958	XM_015943666
rna4959	XM_015943665
rna4960	XM_015943833
rna4961	XM_015943667
rna4962	XM_015943668
rna4963	XM_015943678
rna4964	XM_015943679
rna4966	XM_015943674
rna4967	XM_015943675
rna4968	XM_015943672
rna4969	XM_015943676
rna4970	XM_015943677
rna4971	XM_015943670
rna4972	XM_015943671
rna4973	XM_015943669
rna4974	XM_015943680
rna4975	XM_015943682
rna4976	XM_015943681
rna4977	XM_015943683
rna4979	XM_015943685
rna4981	XM_015943684
rna4982	XM_015943687
rna4983	XM_015943688
rna4984	XM_015943694
rna4985	XM_015943693
rna4986	XM_015943690
rna4987	XM_015943691
rna4988	XM_015943692
rna4989	XM_015943695
rna4991	XM_015943696
rna4992	XM_015943697
rna4993	XM_015943689
rna4994	XM_015943699
rna4995	XM_015943700
rna4996	XM_015943702
rna4997	XM_015943701
rna4998	XM_015943703
rna4999	XM_015943704
rna5001	XM_015943705
rna5002	XM_015943706
rna5003	XM_015943707
rna5005	XM_015943710
rna5006	XM_015943708
rna5007	XM_015943711
rna5008	XM_015943712
rna5009	XM_015943714
rna5010	XM_015943715
rna5011	XM_015943718
rna5012	XM_015943716
rna5013	XM_015943717
rna5014	XM_015943713
rna5015	XM_015943721
rna5016	XM_015943722
rna5017	XM_015943720
rna5019	XM_015943723
rna5021	XM_015943725
rna5022	XM_015943724
rna5023	XM_015943727
rna5024	XM_015943728
rna5025	XM_015943729
rna5026	XM_015943730
rna5027	XM_015943731
rna5028	XM_015943732
rna5029	XM_015943733
rna5030	XM_015943737
rna5031	XM_015943735
rna5032	XM_015943736
rna5033	XM_015943738
rna5034	XM_015943739
rna5035	XM_015943741
rna5036	XM_015943740
rna5037	XM_015943742
rna5039	XM_015943745
rna5040	XM_015943744
rna5041	XM_015943747
rna5042	XM_015943746
rna5043	XM_015943748
rna5044	XM_015943749
rna5045	XM_015943750
rna5046	XM_015943753
rna5047	XM_015943752
rna5048	XM_015943754
rna5049	XM_015943755
rna5051	XM_015943761
rna5053	XM_015943760
rna5054	XM_015943756
rna5055	XM_015943758
rna5056	XM_015943757
rna5057	XM_015943762
rna5059	XM_015943763
rna5060	XM_015943765
rna5061	XM_015943764
rna5062	XM_015943766
rna5063	XM_015943768
rna5064	XM_015943769
rna5065	XM_015943770
rna5066	XM_015943771
rna5067	XM_015943772
rna5068	XM_015943773
rna5069	XM_015943775
rna5070	XM_015943774
rna5071	XM_015943776
rna5072	XM_015943777
rna5073	XM_015943779
rna5074	XM_015943780
rna5075	XM_015943781
rna5076	XM_015943782
rna5077	XM_015943378
rna5079	XM_015943783
rna5080	XM_015943784
rna5083	XM_015943787
rna5084	XM_015943786
rna5085	XM_015943788
rna5086	XM_015943790
rna5087	XM_015943789
rna5088	XM_015943791
rna5089	XM_015943792
rna5090	XM_015943793
rna5091	XM_015943794
rna5092	XM_015943795
rna5093	XM_015943379
rna5094	XM_015943798
rna5095	XM_015943796
rna5096	XM_015943799
