Group_Id	Gene_Symbol	Gene_Name	AAU	CTO	NOR	PLP
Group_2202_0	pappa	pappalysin 1 [Source:HGNC Symbol%3BAcc:HGNC:8602]	011373	007148	005355	012523
Group_2202_1	pappa2	pappalysin 2 [Source:ZFIN%3BAcc:ZDB-GENE-070912-525]	026734	003288	016887	017761
Group_2204_0	mtx1a	metaxin 1a [Source:ZFIN%3BAcc:ZDB-GENE-060606-2]	015643	018924	007091	023636
Group_2204_1	mtx3	metaxin 3%2C transcript variant X1	005479	024060	028518	018501
Group_2205_0	dagla	diacylglycerol lipase alpha%2C transcript variant X1	004949	017571	021090	004896
Group_2208_0	tspan13a	tetraspanin 13a [Source:ZFIN%3BAcc:ZDB-GENE-040718-19]	015683	018968	008391	023603
Group_2208_2	tspan31	tetraspanin 31	009917	028471	029843	022119
Group_2209_0	kdm1a	lysine demethylase 1A%2C transcript variant X1	001552	028695	023644	006026
Group_2209_1	kdm1b	lysine demethylase 1B%2C transcript variant X1	029128	028172	031104	024059
Group_221_2	stx19	syntaxin 19	006182	002235	014485	010775
Group_221_4	stx11a	syntaxin 11a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2564]	019232	029602	031971	024954
Group_221_5	stx11	syntaxin 11 [Source:HGNC Symbol%3BAcc:HGNC:11429]	019233	029601	031972	024953
Group_221_7	stx4	syntaxin 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2455]	008262	009768	023213	012937
Group_221_9	zgc:165520	zgc:165520 [Source:ZFIN%3BAcc:ZDB-GENE-070620-13]	001339	029333	031534	016841
Group_221_10	stx2b	syntaxin 2b [Source:ZFIN%3BAcc:ZDB-GENE-091204-424]	018592	005682	011386	007738
Group_221_11	stx2	syntaxin 2 [Source:HGNC Symbol%3BAcc:HGNC:3403]	011904	007334	020025	012737
Group_221_12	stx1a	syntaxin 1A (brain) [Source:ZFIN%3BAcc:ZDB-GENE-100802-1]	021488	007427	030997	015385
Group_2210_0	fam98a	family with sequence similarity 98 member A	000045	020665	002984	024998
Group_2210_1	fam98b	family with sequence similarity 98 member B	012373	000223	023671	022585
Group_2211_0	stambpb	STAM binding protein b [Source:ZFIN%3BAcc:ZDB-GENE-051127-31]	017782	010919	015601	007022
Group_2211_2	stambpl1	STAM binding protein like 1%2C transcript variant X3	016480	009750	023201	000376
Group_2212_0	glipr2l	GLI pathogenesis-related 2%2C like [Source:ZFIN%3BAcc:ZDB-GENE-041010-53]	022781	025558	031860	015789
Group_2213_0	rbm27	RNA binding motif protein 27%2C transcript variant X1	021731	014079	001909	022989
Group_2214_0	traf3ip2	TRAF3 interacting protein 2%2C transcript variant X1	006589	007524	018495	024504
Group_2214_1	traf3ip2l	TRAF3 interacting protein 2-like [Source:ZFIN%3BAcc:ZDB-GENE-110919-1]	001713	001986	001617	002053
Group_2215_0	letm2	leucine zipper and EF-hand containing transmembrane protein 2	015207	021819	008267	022890
Group_2215_1	letm1	leucine zipper and EF-hand containing transmembrane protein 1%2C transcript variant X1	015749	022872	010379	007593
Group_2216_0	spg20a	spastic paraplegia 20a (Troyer syndrome) [Source:ZFIN%3BAcc:ZDB-GENE-080204-37]	013282	025625	031129	003891
Group_2216_1	spg20b	spastic paraplegia 20b (Troyer syndrome) [Source:ZFIN%3BAcc:ZDB-GENE-060825-146]	029681	026802	015243	011395
Group_2217_0	aoc2	amine oxidase%2C copper containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-050320-133]	003905	004697	024979	001011
Group_2218_0	tmem168b	transmembrane protein 168b [Source:ZFIN%3BAcc:ZDB-GENE-090406-3]	015421	015417	015316	011237
Group_2218_1	tmem168a	transmembrane protein 168a [Source:ZFIN%3BAcc:ZDB-GENE-050419-97]	024615	013161	022115	002153
Group_2219_0	myrf	myelin regulatory factor%2C transcript variant X1	003176	014783	006439	009895
Group_2219_1	myrfl	myelin regulatory factor-like	024391	015823	014302	010465
Group_222_0	trhra	thyrotropin-releasing hormone receptor a [Source:ZFIN%3BAcc:ZDB-GENE-100922-18]	003670	012085	020124	002821
Group_222_2	nmur3	neuromedin U receptor 3 [Source:ZFIN%3BAcc:ZDB-GENE-130530-567]	026316	030076	020721	005820
Group_222_3	nmur1a	neuromedin U receptor 1a [Source:ZFIN%3BAcc:ZDB-GENE-081104-220]	004916	027868	020827	017109
Group_222_4	nmur1b	neuromedin U receptor 1b [Source:ZFIN%3BAcc:ZDB-GENE-131121-154]	020274	011523	032074	009755
Group_222_5	ntsr1	neurotensin receptor 1 (high affinity) [Source:ZFIN%3BAcc:ZDB-GENE-090313-372]	018114	025094	007473	003065
Group_222_6	mlnr	motilin receptor [Source:HGNC Symbol%3BAcc:HGNC:4495]	021426	025718	016147	011416
Group_222_7	cabz01118770.1	unknown	027359	006012	018696	025750
Group_222_9	ghsrb	growth hormone secretagogue receptor b [Source:ZFIN%3BAcc:ZDB-GENE-090327-1]	026532	012312	019384	008068
Group_222_10	trhr3	Oryzias latipes TRHR3 protein (trhr3)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001204793]	016187	016671	031543	015489
Group_222_11	trhr2	thyrotropin releasing hormone receptor 2 [Source:ZFIN%3BAcc:ZDB-GENE-050419-193]	020776	020309	001214	021808
Group_2220_0	tmem179	transmembrane protein 179	003773	027049	015105	006653
Group_2221_0	si:ch211-14a17.6	si:ch211-14a17.6 [Source:ZFIN%3BAcc:ZDB-GENE-030616-589]	030016	003680	031304	014121
Group_2221_1	si:ch211-14a17.7	si:ch211-14a17.7 [Source:ZFIN%3BAcc:ZDB-GENE-030616-590]	030015	003681	031305	014120
Group_2222_0	yipf1	Yip1 domain family member 1%2C transcript variant X2	012750	023742	024426	000141
Group_2223_0	gdap1l1	ganglioside induced differentiation associated protein 1-like 1	019151	026692	007230	022108
Group_2224_0	adpgk2	ADP-dependent glucokinase 2 [Source:ZFIN%3BAcc:ZDB-GENE-090609-3]	009771	006793	030264	013173
Group_2224_1	adpgk	ADP-dependent glucokinase%2C transcript variant X1	015489	015619	027404	005206
Group_2225_0	zgc:175264	zgc:175264 [Source:ZFIN%3BAcc:ZDB-GENE-080204-123]	029984	011325	019798	005816
Group_2225_1	phtf2	putative homeodomain transcription factor 2%2C transcript variant X1	024560	013203	000783	021206
Group_2226_1	si:dkey-10f23.2	si:dkey-10f23.2 [Source:ZFIN%3BAcc:ZDB-GENE-160728-101]	002955	004194	020298	003778
Group_2227_0	unk	unkempt family zinc finger	029998	003614	018763	019581
Group_2227_1	unkl	unkempt family like zinc finger%2C transcript variant X1	011893	019790	001147	020569
Group_2228_0	rab3il1	RAB3A interacting protein (rabin3)-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-110921-5]	003190	014800	003036	009905
Group_2229_0	zgc:152945	zgc:152945 [Source:ZFIN%3BAcc:ZDB-GENE-060929-800]	011110	019448	004611	020698
Group_223_0	frem2b	Fras1 related extracellular matrix protein 2b [Source:ZFIN%3BAcc:ZDB-GENE-081119-4]	021456	026786	015233	011386
Group_223_1	frem2a	Fras1 related extracellular matrix protein 2a [Source:ZFIN%3BAcc:ZDB-GENE-081119-3]	024042	020398	021988	003898
Group_223_2	frem1a	Fras1 related extracellular matrix 1a [Source:ZFIN%3BAcc:ZDB-GENE-081119-1]	010771	015751	019931	022992
Group_223_5	fras1	Fraser extracellular matrix complex subunit 1	017837	001256	030752	007032
Group_223_6	si:dkeyp-41f9.3	si:dkeyp-41f9.3 [Source:ZFIN%3BAcc:ZDB-GENE-091118-56]	022632	007340	019018	012660
Group_223_7	si:dkey-193c22.2	si:dkey-193c22.2 [Source:ZFIN%3BAcc:ZDB-GENE-070705-337]	015170	021867	026613	022906
Group_223_8	cspg4	chondroitin sulfate proteoglycan 4 [Source:ZFIN%3BAcc:ZDB-GENE-050519-1]	023843	020641	012188	005212
Group_223_9	frem3	FRAS1 related extracellular matrix 3	029928	013618	027025	017729
Group_2230_0	cand1	cullin-associated and neddylation-dissociated 1	024395	015830	012642	020998
Group_2231_0	ranbp10	RAN binding protein 10%2C transcript variant X1	001691	003046	028587	021749
Group_2231_1	ranbp9	RAN binding protein 9	014995	016207	029686	024560
Group_2232_0	sgce	sarcoglycan epsilon%2C transcript variant X1	002390	005494	001247	017909
Group_2233_0	naga	N-acetylgalactosaminidase%2C alpha-	008653	024576	014662	006440
Group_2233_1	gla	galactosidase alpha	004055	009200	021349	024764
Group_2234_0	hmgcl	3-hydroxymethyl-3-methylglutaryl-CoA lyase	013579	010543	028003	022544
Group_2234_1	hmgcll1	3-hydroxymethyl-3-methylglutaryl-CoA lyase-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-080220-15]	017461	018759	027682	018847
Group_2235_0	rprd1a	regulation of nuclear pre-mRNA domain containing 1A [Source:ZFIN%3BAcc:ZDB-GENE-141211-20]	028622	029739	016501	025221
Group_2236_1	mdm4	MDM4%2C p53 regulator%2C transcript variant X1	009531	014322	015015	005606
Group_2237_0	g3bp2	G3BP stress granule assembly factor 2%2C transcript variant X1	025461	015300	017190	005069
Group_2237_1	g3bp1	G3BP stress granule assembly factor 1	013464	022679	007068	001928
Group_2238_1	crocc2	ciliary rootlet coiled-coil%2C rootletin family member 2 [Source:ZFIN%3BAcc:ZDB-GENE-131121-625]	014952	018360	023484	024941
Group_2239_0	upp1	uridine phosphorylase 1%2C transcript variant X1	015817	029684	025698	015782
Group_224_0	slco1c1	solute carrier organic anion transporter family%2C member 1C1 [Source:ZFIN%3BAcc:ZDB-GENE-041210-50]	009443	007447	011510	023420
Group_224_1	slco1c1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol%3BAcc:HGNC:13819]	009898	014944	003053	016391
Group_224_3	slco1e1	solute carrier organic anion transporter family%2C member 1E1 [Source:ZFIN%3BAcc:ZDB-GENE-100818-2]	029598	022520	030052	020035
Group_224_4	slco2b1	solute carrier organic anion transporter family%2C member 2B1 [Source:ZFIN%3BAcc:ZDB-GENE-051023-6]	016384	029487	026904	001131
Group_224_5	slco2a1	solute carrier organic anion transporter family member 2A1%2C transcript variant X1	007220	011822	003979	018691
Group_224_6	slco3a1	solute carrier organic anion transporter family%2C member 3A1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8662]	007460	014753	005460	009811
Group_224_7	slco3a1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol%3BAcc:HGNC:10952]	026517	023576	016531	022232
Group_224_8	slco5a1	solute carrier organic anion transporter family%2C member 5A1 [Source:ZFIN%3BAcc:ZDB-GENE-090316-1]	015013	016199	029697	016797
Group_224_9	slco5a1	solute carrier organic anion transporter family member 5A1	020621	004059	013068	023837
Group_224_10	slco4a1	solute carrier organic anion transporter family member 4A1%2C transcript variant X2	018115	025095	007474	003064
Group_2240_0	msra	methionine sulfoxide reductase A%2C transcript variant X1	018009	002723	029296	008456
Group_2241_0	ugdh	UDP-glucose 6-dehydrogenase	030005	013345	022967	024457
Group_2242_0	oxt	oxytocin [Source:ZFIN%3BAcc:ZDB-GENE-030407-1]	030334	030355	008325	025366
Group_2243_0	ipo8	importin 8%2C transcript variant X1	007899	006138	023887	001117
Group_2243_1	ipo7	importin 7 [Source:ZFIN%3BAcc:ZDB-GENE-030131-458]	007683	023149	013011	004887
Group_2244_0	si:dkey-27b3.2	si:dkey-27b3.2 [Source:ZFIN%3BAcc:ZDB-GENE-091117-10]	007342	010039	029123	002943
Group_2244_2	golph3	golgi phosphoprotein 3	027313	009083	021067	018820
Group_2245_0	pphln1	periphilin 1%2C transcript variant X1	024604	013174	028712	002147
Group_2246_0	ica1	islet cell autoantigen 1	003005	010798	011246	023545
Group_2246_1	ical1	islet cell autoantigen 1-like [Source:ZFIN%3BAcc:ZDB-GENE-030910-4]	028641	006068	023117	013135
Group_2247_0	nab1a	NGFI-A binding protein 1a (EGR1 binding protein 1) [Source:ZFIN%3BAcc:ZDB-GENE-050208-574]	001853	008619	004576	020749
Group_2247_1	nab2	NGFI-A binding protein 2	007742	020181	014975	023184
Group_2248_0	nnt	nicotinamide nucleotide transhydrogenase	021946	007286	010908	012708
Group_2248_1	nnt2	nicotinamide nucleotide transhydrogenase 2 [Source:ZFIN%3BAcc:ZDB-GENE-091204-5]	014984	019506	008131	022441
Group_225_0	clcn2a	chloride channel%2C voltage-sensitive 2a [Source:ZFIN%3BAcc:ZDB-GENE-070705-19]	013813	011695	012707	013412
Group_225_1	loc107380774		022334	006655	030280	019620
Group_225_3	clcn1a	chloride channel%2C voltage-sensitive 1a [Source:ZFIN%3BAcc:ZDB-GENE-060503-333]	016970	019012	005804	016740
Group_225_4	clcn1b	chloride channel%2C voltage-sensitive 1b [Source:ZFIN%3BAcc:ZDB-GENE-100921-11]	006373	027534	013118	016025
Group_225_5	clcnk	chloride channel K [Source:ZFIN%3BAcc:ZDB-GENE-040426-1379]	021330	028524	027457	003002
Group_225_7	clcn7	chloride voltage-gated channel 7%2C transcript variant X1	014729	004885	008015	004500
Group_225_8	clcn3	chloride voltage-gated channel 3%2C transcript variant X1	005909	019189	023131	004179
Group_225_9	clcn5a	chloride channel%2C voltage-sensitive 5a [Source:ZFIN%3BAcc:ZDB-GENE-091113-15]	012413	016141	006189	012496
Group_225_10	clcn4	chloride voltage-gated channel 4	011769	029920	026208	022766
Group_2250_0	plek2	pleckstrin 2	019213	005235	008439	020804
Group_2250_1	plek	pleckstrin [Source:ZFIN%3BAcc:ZDB-GENE-040426-1506]	020915	018709	016026	009374
Group_2251_0	pmm2	phosphomannomutase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030722-6]	014433	003027	012327	014860
Group_2251_1	pmm1	phosphomannomutase 1%2C transcript variant X1	018307	017402	024918	004379
Group_2252_1	strc	stereocilin [Source:HGNC Symbol%3BAcc:HGNC:16035]	028751	023167	030955	020500
Group_2253_0	cap1	CAP%2C adenylate cyclase-associated protein 1 (yeast)	019743	006159	015942	007561
Group_2253_1	cap2	CAP%2C adenylate cyclase-associated protein%2C 2 (yeast)%2C transcript variant X1	005623	026928	021834	007076
Group_2254_0	sobpa	sine oculis binding protein homolog (Drosophila) a [Source:ZFIN%3BAcc:ZDB-GENE-090313-313]	016334	005661	020484	018377
Group_2254_1	sobpb	sine oculis binding protein homolog (Drosophila) b [Source:ZFIN%3BAcc:ZDB-GENE-041210-8]	002247	007801	024480	017284
Group_2257_0	grid2ipb	glutamate receptor%2C ionotropic%2C delta 2 (Grid2) interacting protein%2C b [Source:ZFIN%3BAcc:ZDB-GENE-040724-161]	015699	002314	012927	004996
Group_2257_1	grid2ipa	glutamate receptor%2C ionotropic%2C delta 2 (Grid2) interacting protein%2C a [Source:ZFIN%3BAcc:ZDB-GENE-091113-42]	018090	015774	030910	024208
Group_2258_0	dnajc3a	DnaJ (Hsp40) homolog%2C subfamily C%2C member 3a [Source:ZFIN%3BAcc:ZDB-GENE-030131-1264]	016936	004361	028825	010991
Group_2258_1	dnajc3b	DnaJ (Hsp40) homolog%2C subfamily C%2C member 3b [Source:ZFIN%3BAcc:ZDB-GENE-000831-4]	025291	011936	004313	004235
Group_2259_1	nop56	NOP56 ribonucleoprotein	012152	004681	025400	001263
Group_226_0	itgb1a	integrin%2C beta 1a [Source:ZFIN%3BAcc:ZDB-GENE-060803-2]	029544	005417	020199	004544
Group_226_2	itgb4	integrin subunit beta 4%2C transcript variant X2	026492	003613	018762	019580
Group_226_4	itgb3b	integrin beta 3b [Source:ZFIN%3BAcc:ZDB-GENE-071207-2]	010057	003036	006241	024912
Group_226_5	itgb3a	integrin beta 3a [Source:ZFIN%3BAcc:ZDB-GENE-071207-1]	001347	015464	021536	001476
Group_226_6	itgb8	integrin subunit beta 8	002396	005487	027306	000247
Group_226_7	itgb6	integrin subunit beta 6%2C transcript variant X1	029493	013019	029916	022375
Group_2260_1	pdxkb	pyridoxal (pyridoxine%2C vitamin B6) kinase b [Source:ZFIN%3BAcc:ZDB-GENE-030616-521]	020988	009539	014860	004133
Group_2261_1	ddah1	dimethylarginine dimethylaminohydrolase 1%2C transcript variant X1	021223	008506	009642	016973
Group_2262_0	srpx	sushi repeat containing protein%2C X-linked%2C transcript variant X1	014215	007035	002200	014447
Group_2262_1	srpx2	sushi repeat containing protein%2C X-linked 2	004075	022397	029774	020175
Group_2263_1	si:ch211-106h4.9	si:ch211-106h4.9 [Source:ZFIN%3BAcc:ZDB-GENE-070705-17]	028930	023733	011198	000694
Group_2264_0	ankrd10b	ankyrin repeat domain 10b [Source:ZFIN%3BAcc:ZDB-GENE-061013-49]	029203	007030	002205	009243
Group_2265_0	gas6	growth arrest specific 6	009799	024806	017332	015651
Group_2266_0	si:ch211-256m1.8	si:ch211-256m1.8 [Source:ZFIN%3BAcc:ZDB-GENE-131127-417]	012909	004709	027954	005436
Group_2266_1	si:ch211-256m1.8	si:ch211-256m1.8 [Source:ZFIN%3BAcc:ZDB-GENE-131127-417]	012909	004709	027954	004426
Group_2267_0	si:dkey-217d24.6	si:dkey-217d24.6 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5663]	013046	012926	006451	005444
Group_2267_1	wiz	widely interspaced zinc finger motifs [Source:HGNC Symbol%3BAcc:HGNC:30917]	027391	017375	015340	004339
Group_2268_0	trnau1apb	tRNA selenocysteine 1 associated protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-2386]	010720	001621	011877	019859
Group_2268_1	trnau1ap	tRNA selenocysteine 1 associated protein 1	028372	007726	021749	020830
Group_2269_0	vax2	ventral anterior homeobox 2	005882	019234	023091	004207
Group_2269_1	vax1	ventral anterior homeobox 1	028263	006533	027566	018074
Group_227_1	loxl2a	lysyl oxidase-like 2a [Source:ZFIN%3BAcc:ZDB-GENE-070818-1]	012128	004652	009457	005778
Group_227_2	loxl1	lysyl oxidase like 1	008535	023306	005141	000319
Group_227_3	loxl5b	lysyl oxidase-like 5b [Source:ZFIN%3BAcc:ZDB-GENE-070818-3]	010820	023723	013446	024097
Group_227_4	loxl5a	lysyl oxidase-like 5a [Source:ZFIN%3BAcc:ZDB-GENE-070705-186]	016830	025116	023937	012261
Group_227_5	lox	lysyl oxidase	028444	027953	002818	001744
Group_227_6	loxa	lysyl oxidase a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2398]	029723	007228	029021	024334
Group_227_7	loxl3b	lysyl oxidase-like 3b [Source:ZFIN%3BAcc:ZDB-GENE-030131-8210]	015790	014403	030410	006142
Group_227_8	loxl4	lysyl oxidase like 4	029418	026043	031009	019436
Group_227_9	loxl4	lysyl oxidase like 4 [Source:HGNC Symbol%3BAcc:HGNC:17171]	004780	022716	019626	005540
Group_2271_0	kctd14	potassium channel tetramerization domain containing 14	005021	027311	003411	024743
Group_2271_1	kctd7	potassium channel tetramerization domain containing 7	002688	022021	023058	011196
Group_2272_0	prdm8b	PR domain containing 8b [Source:ZFIN%3BAcc:ZDB-GENE-060526-174]	017835	025015	015559	007030
Group_2272_1	prdm8	PR domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2747]	017405	026021	027621	019467
Group_2273_0	npas4a	neuronal PAS domain protein 4a [Source:ZFIN%3BAcc:ZDB-GENE-060616-396]	004084	022470	029764	020218
Group_2273_1	loc107375416		029336	027759	030515	017794
Group_2274_0	angel2	angel homolog 2 [Source:HGNC Symbol%3BAcc:HGNC:30534]	027048	026169	028334	008671
Group_2274_1	angel1	angel homolog 1 [Source:HGNC Symbol%3BAcc:HGNC:19961]	003825	020982	018818	008138
Group_2275_1	si:ch211-219a15.3	si:ch211-219a15.3 [Source:ZFIN%3BAcc:ZDB-GENE-060503-214]	019605	018078	027514	022037
Group_2276_0	fkbp16	FK506 binding protein 16 [Source:ZFIN%3BAcc:ZDB-GENE-050208-116]	008011	014909	005455	009784
Group_2276_1	fkbp8	FK506 binding protein 8	011612	012539	030054	012107
Group_2277_1	loc107381011		001961	023253	014821	020702
Group_2278_0	plekha8	pleckstrin homology domain containing A8	006016	025525	016867	006648
Group_2278_1	plekha3	pleckstrin homology domain containing A3%2C transcript variant X1	020987	009540	014861	023806
Group_2279_0	asah1b	N-acylsphingosine amidohydrolase (acid ceramidase) 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1512]	004590	029305	030274	017769
Group_2279_1	naaa	N-acylethanolamine acid amidase	001448	000023	011849	015590
Group_228_0	arfgef1	ADP ribosylation factor guanine nucleotide exchange factor 1%2C transcript variant X1	029622	004061	030580	017929
Group_228_1	gbf1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	028267	006530	000995	007989
Group_228_2	arfgef2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) [Source:ZFIN%3BAcc:ZDB-GENE-090312-50]	027581	023502	001731	003114
Group_2280_0	snx7	sorting nexin 7	027614	019555	025121	010435
Group_2280_1	snx30	sorting nexin family member 30	022631	007341	019017	012661
Group_2281_0	atg16l1	autophagy related 16 like 1	009615	023622	022241	003619
Group_2281_1	atg16l2	ATG16 autophagy related 16-like 2 (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-060503-197]	025191	000513	001898	025813
Group_2282_1	slc25a44a	solute carrier family 25%2C member 44 a [Source:ZFIN%3BAcc:ZDB-GENE-041114-38]	003359	017140	027405	025148
Group_2283_0	mntb	MAX network transcriptional repressor b [Source:ZFIN%3BAcc:ZDB-GENE-070820-8]	007202	000360	009027	021694
Group_2283_1	si:dkey-95o3.4	si:dkey-95o3.4 [Source:ZFIN%3BAcc:ZDB-GENE-121214-300]	018685	006735	011506	025998
Group_2284_0	spon2a	spondin 2a%2C extracellular matrix protein [Source:ZFIN%3BAcc:ZDB-GENE-990415-160]	004567	002867	015192	016177
Group_2284_1	spon2b	spondin 2b%2C extracellular matrix protein [Source:ZFIN%3BAcc:ZDB-GENE-990415-161]	025970	011048	008226	006354
Group_2285_0	apcdd1	APC down-regulated 1 [Source:HGNC Symbol%3BAcc:HGNC:15718]	000115	023698	022362	007960
Group_2285_1	apcdd1l	adenomatosis polyposis coli down-regulated 1-like [Source:ZFIN%3BAcc:ZDB-GENE-121022-3]	027014	004392	013558	005728
Group_2286_0	hmg20b	high mobility group 20B%2C transcript variant X2	011643	029175	031157	024306
Group_2287_0	loc107374673		014017	010112	007816	002864
Group_2287_1	peak1	pseudopodium enriched atypical kinase 1%2C transcript variant X1	013628	002038	018468	011256
Group_2288_0	b3glctb	beta 3-glucosyltransferase b [Source:ZFIN%3BAcc:ZDB-GENE-091204-128]	024008	012607	021983	003880
Group_2288_1	b3glcta	beta 3-glucosyltransferase a [Source:ZFIN%3BAcc:ZDB-GENE-110411-147]	014887	016361	021943	011378
Group_2289_0	sec23b	Sec23 homolog B%2C COPII coat complex component [Source:ZFIN%3BAcc:ZDB-GENE-030131-5479]	020402	008591	028445	023903
Group_2289_1	sec23a	Sec23 homolog A%2C COPII coat complex component	029293	022879	020542	007633
Group_229_0	acsl1a	acyl-CoA synthetase long-chain family member 1a [Source:ZFIN%3BAcc:ZDB-GENE-050809-115]	025482	009566	024172	014331
Group_229_3	acsbg2	acyl-CoA synthetase bubblegum family member 2%2C transcript variant X1	021174	008467	007935	017035
Group_229_4	loc107394339		015084	022596	014895	024533
Group_229_5	acsl3a	acyl-CoA synthetase long-chain family member 3a [Source:ZFIN%3BAcc:ZDB-GENE-050420-181]	002821	009074	014759	024737
Group_229_6	acsl3b	acyl-CoA synthetase long-chain family member 3b [Source:ZFIN%3BAcc:ZDB-GENE-030131-492]	010916	020762	024565	013351
Group_229_7	acsl4a	acyl-CoA synthetase long-chain family member 4a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1565]	026184	005305	016724	010012
Group_229_8	fo704819.2	unknown	008107	005789	010073	007845
Group_229_10	acsl6	acyl-CoA synthetase long-chain family member 6 [Source:HGNC Symbol%3BAcc:HGNC:16496]	021659	014109	026566	014474
Group_2290_0	cecr1b	cat eye syndrome chromosome region%2C candidate 1b [Source:ZFIN%3BAcc:ZDB-GENE-041210-77]	024484	029069	021573	006949
Group_2290_1	cecr1a	cat eye syndrome chromosome region%2C candidate 1a [Source:ZFIN%3BAcc:ZDB-GENE-030902-4]	009287	009334	031701	021915
Group_2291_0	cxxc1a	CXXC finger protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1142]	029466	025040	014582	008198
Group_2291_1	cxxc1b	CXXC finger protein 1b [Source:ZFIN%3BAcc:ZDB-GENE-030728-4]	030237	018891	006974	022729
Group_2292_0	qpctla	glutaminyl-peptide cyclotransferase-like a [Source:ZFIN%3BAcc:ZDB-GENE-030131-1441]	021476	007413	019475	015361
Group_2292_1	qpct	glutaminyl-peptide cyclotransferase [Source:ZFIN%3BAcc:ZDB-GENE-130827-1]	013570	010528	028008	024898
Group_2293_1	ppargc1a	PPARG coactivator 1 alpha%2C transcript variant X1	002131	003512	022376	000682
Group_2294_0	echdc2	enoyl-CoA hydratase domain containing 2	012719	008844	012528	012232
Group_2294_1	auh	AU RNA binding protein/enoyl-CoA hydratase	028400	023963	005419	019037
Group_2295_0	lix1	limb and CNS expressed 1	005500	030078	001927	025803
Group_2295_1	lix1l	limb and CNS expressed 1 like	010211	030299	022081	025457
Group_2296_0	adck1	aarF domain containing kinase 1	020139	027382	019512	001126
Group_2296_1	adck5	aarF domain containing kinase 5%2C transcript variant X1	019657	017852	007964	018756
Group_2297_0	tbc1d22b	TBC1 domain family member 22B	029459	025085	030249	003079
Group_2297_1	tbc1d22a	TBC1 domain family member 22A%2C transcript variant X1	024652	022526	019069	020024
Group_2298_0	waca	WW domain containing adaptor with coiled-coil a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2624]	013192	003868	022614	008941
Group_2298_1	waca	WW domain containing adaptor with coiled-coil a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2624]	024684	001664	000807	006779
Group_2299_0	wdr25	WD repeat domain 25%2C transcript variant X2	012313	024542	010306	013785
Group_2299_1	cdc40	cell division cycle 40	002231	021404	021886	019077
Group_23_0	cntn4	contactin 4 [Source:ZFIN%3BAcc:ZDB-GENE-060929-776]	015344	000149	022349	022784
Group_23_1	cntn3a.1	contactin 3a%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-081030-10]	019988	007071	023813	011872
Group_23_2	cntn3a.2	contactin 3a%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-090312-57]	029590	007063	023824	011901
Group_23_3	cntn3	contactin 3	019802	002505	027304	022791
Group_23_4	sdk2b	sidekick cell adhesion molecule 2b [Source:ZFIN%3BAcc:ZDB-GENE-030131-8203]	012694	004828	003949	013050
Group_23_5	si:ch211-148f13.1	si:ch211-148f13.1 [Source:ZFIN%3BAcc:ZDB-GENE-131122-3]	027404	018166	012671	020682
Group_23_7	sdk1b	sidekick cell adhesion molecule 1b [Source:ZFIN%3BAcc:ZDB-GENE-090311-17]	029798	000541	007151	014176
Group_23_8	loc107390140		022295	004238	025177	000647
Group_23_9	mxra5a	matrix-remodelling associated 5a [Source:ZFIN%3BAcc:ZDB-GENE-090312-22]	004857	000916	028200	020066
Group_23_11	igsf10	immunoglobulin superfamily member 10	014857	007468	021926	015419
Group_23_12	si:ch211-159i8.4	si:ch211-159i8.4 [Source:ZFIN%3BAcc:ZDB-GENE-141215-7]	000764	001764	014175	000382
Group_23_13	loc107386284		015126	022637	014693	016299
Group_23_15	robo1	roundabout guidance receptor 1 [Source:HGNC Symbol%3BAcc:HGNC:10249]	017583	022115	004855	018340
Group_23_17	robo2	roundabout guidance receptor 2 [Source:HGNC Symbol%3BAcc:HGNC:10250]	017588	022096	004845	018366
Group_23_18	robo2	roundabout guidance receptor 2%2C transcript variant X1	009684	016379	006632	011387
Group_23_19	robo3	roundabout guidance receptor 3%2C transcript variant X1	004705	002292	001705	001684
Group_23_21	boc	BOC cell adhesion associated%2C oncogene regulated	002847	004099	020457	017945
