ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000014332	LGALS2	galectin 2 [Source:HGNC Symbol%3BAcc:HGNC:6562]
ENSLOCP00000021951	unknown	unknown
ENSLOCP00000014342	sh3bp1	SH3-domain binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-121128-2]
ENSLOCP00000014351	unknown	unknown
ENSLOCP00000014359	unknown	unknown
ENSLOCP00000014364	unknown	unknown
ENSLOCP00000014372	unknown	unknown
ENSLOCP00000014380	unknown	unknown
ENSLOCP00000014391	tmem184bb	transmembrane protein 184bb [Source:ZFIN%3BAcc:ZDB-GENE-070705-124]
ENSLOCP00000014399	unknown	unknown
ENSLOCP00000014405	unknown	unknown
ENSLOCP00000014415	unknown	unknown
ENSLOCP00000014428	unknown	unknown
ENSLOCP00000014435	unknown	unknown
ENSLOCP00000014444	unknown	unknown
ENSLOCP00000014451	zgc:153642	zgc:153642 [Source:ZFIN%3BAcc:ZDB-GENE-061013-527]
ENSLOCP00000014462	unknown	unknown
ENSLOCP00000014469	unknown	unknown
ENSLOCP00000014478	tomm22	translocase of outer mitochondrial membrane 22 homolog (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-030131-9810]
ENSLOCP00000014485	unknown	unknown
ENSLOCP00000014491	unknown	unknown
ENSLOCP00000014508	gga1	golgi-associated%2C gamma adaptin ear containing%2C ARF binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040822-13]
ENSLOCP00000014517	unknown	unknown
ENSLOCP00000014532	si:dkey-43k4.3	si:dkey-43k4.3 [Source:ZFIN%3BAcc:ZDB-GENE-120215-146]
ENSLOCP00000014526	si:dkey-43k4.3	si:dkey-43k4.3 [Source:ZFIN%3BAcc:ZDB-GENE-120215-146]
ENSLOCP00000014541	polr2f	polymerase (RNA) II (DNA directed) polypeptide F [Source:ZFIN%3BAcc:ZDB-GENE-040718-279]
ENSLOCP00000014551	unknown	unknown
ENSLOCP00000021952	KCNJ4	potassium voltage-gated channel subfamily J member 4 [Source:HGNC Symbol%3BAcc:HGNC:6265]
ENSLOCP00000014560	unknown	unknown
ENSLOCP00000014566	unknown	unknown
ENSLOCP00000021953	si:dkeyp-52c3.2	si:dkeyp-52c3.2 [Source:ZFIN%3BAcc:ZDB-GENE-110411-46]
ENSLOCP00000014575	unknown	unknown
ENSLOCP00000014586	si:dkey-167k11.5	si:dkey-167k11.5 [Source:ZFIN%3BAcc:ZDB-GENE-091204-218]
ENSLOCP00000014592	unknown	unknown
ENSLOCP00000014600	unknown	unknown
ENSLOCP00000014603	unknown	unknown
ENSLOCP00000021954	unknown	unknown
ENSLOCP00000014606	unknown	unknown
ENSLOCP00000014623	srebf2	sterol regulatory element binding transcription factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-070410-8]
ENSLOCP00000014628	unknown	unknown
ENSLOCP00000014639	unknown	unknown
ENSLOCP00000014647	unknown	unknown
ENSLOCP00000014655	unknown	unknown
ENSLOCP00000014657	unknown	unknown
ENSLOCP00000014666	ndufa6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex%2C 6 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1124]
ENSLOCP00000014676	smdt1a	single-pass membrane protein with aspartate-rich tail 1a [Source:ZFIN%3BAcc:ZDB-GENE-110411-114]
ENSLOCP00000014681	unknown	unknown
ENSLOCP00000014690	zgc:158803	zgc:158803 [Source:ZFIN%3BAcc:ZDB-GENE-070424-15]
ENSLOCP00000014695	unknown	unknown
ENSLOCP00000014703	unknown	unknown
ENSLOCP00000014710	unknown	unknown
ENSLOCP00000014715	unknown	unknown
ENSLOCP00000014724	unknown	unknown
ENSLOCP00000014730	si:ch211-243a20.3	si:ch211-243a20.3 [Source:ZFIN%3BAcc:ZDB-GENE-061207-28]
ENSLOCP00000014740	unknown	unknown
ENSLOCP00000014746	unknown	unknown
ENSLOCP00000014752	unknown	unknown
ENSLOCP00000014758	emp1	epithelial membrane protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-070822-2]
ENSLOCP00000014765	unknown	unknown
ENSLOCP00000014788	myh9a	myosin%2C heavy chain 9a%2C non-muscle [Source:ZFIN%3BAcc:ZDB-GENE-030131-5870]
ENSLOCP00000014793	unknown	unknown
ENSLOCP00000014800	rpsa	ribosomal protein SA [Source:ZFIN%3BAcc:ZDB-GENE-040426-811]
ENSLOCP00000014807	unknown	unknown
ENSLOCP00000014816	unknown	unknown
ENSLOCP00000021955	unknown	unknown
ENSLOCP00000014830	tom1	target of myb1 membrane trafficking protein [Source:ZFIN%3BAcc:ZDB-GENE-060721-1]
ENSLOCP00000014839	foxred2	FAD-dependent oxidoreductase domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-060929-1026]
ENSLOCP00000021956	FUT9 (1 of many)	fucosyltransferase 9 [Source:HGNC Symbol%3BAcc:HGNC:4020]
ENSLOCP00000021957	FUT9 (1 of many)	fucosyltransferase 9 [Source:HGNC Symbol%3BAcc:HGNC:4020]
ENSLOCP00000014848	ankrd54	ankyrin repeat domain 54 [Source:ZFIN%3BAcc:ZDB-GENE-040718-318]
ENSLOCP00000014856	unknown	unknown
ENSLOCP00000014861	unknown	unknown
ENSLOCP00000014868	unknown	unknown
ENSLOCP00000014871	pde6h	phosphodiesterase 6H%2C cGMP-specific%2C cone%2C gamma [Source:ZFIN%3BAcc:ZDB-GENE-040426-1754]
ENSLOCP00000014881	unknown	unknown
ENSLOCP00000014885	bglap	bone gamma-carboxyglutamate (gla) protein [Source:ZFIN%3BAcc:ZDB-GENE-050113-4]
ENSLOCP00000014892	unknown	unknown
ENSLOCP00000014900	unknown	unknown
ENSLOCP00000014910	unknown	unknown
ENSLOCP00000021958	unknown	unknown
ENSLOCP00000000587	unknown	unknown
ENSLOCP00000000625	txndc11	thioredoxin domain containing 11 [Source:ZFIN%3BAcc:ZDB-GENE-041008-112]
ENSLOCP00000022189	snn	stannin [Source:ZFIN%3BAcc:ZDB-GENE-040426-1987]
ENSLOCP00000000681	zc3h7a	zinc finger CCCH-type containing 7A [Source:ZFIN%3BAcc:ZDB-GENE-040426-2776]
ENSLOCP00000000720	zgc:92162	zgc:92162 [Source:ZFIN%3BAcc:ZDB-GENE-040718-41]
ENSLOCP00000000760	BFAR	bifunctional apoptosis regulator [Source:HGNC Symbol%3BAcc:HGNC:17613]
ENSLOCP00000000801	parn	poly(A)-specific ribonuclease (deadenylation nuclease) [Source:ZFIN%3BAcc:ZDB-GENE-040426-880]
ENSLOCP00000000835	parn	poly(A)-specific ribonuclease (deadenylation nuclease) [Source:ZFIN%3BAcc:ZDB-GENE-040426-880]
ENSLOCP00000000860	ERI2	ERI1 exoribonuclease family member 2 [Source:HGNC Symbol%3BAcc:HGNC:30541]
ENSLOCP00000000923	acsm3	acyl-CoA synthetase medium-chain family member 3 [Source:ZFIN%3BAcc:ZDB-GENE-080220-22]
ENSLOCP00000000894	acsm3	acyl-CoA synthetase medium-chain family member 3 [Source:ZFIN%3BAcc:ZDB-GENE-080220-22]
ENSLOCP00000000948	thumpd1	THUMP domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1805]
ENSLOCP00000000982	axin1	axin 1 [Source:ZFIN%3BAcc:ZDB-GENE-000403-1]
ENSLOCP00000001044	GTF3C1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol%3BAcc:HGNC:4664]
ENSLOCP00000001018	GTF3C1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol%3BAcc:HGNC:4664]
ENSLOCP00000001069	SEC14L5	SEC14 like lipid binding 5 [Source:HGNC Symbol%3BAcc:HGNC:29032]
ENSLOCP00000001101	SEC14L5	SEC14 like lipid binding 5 [Source:HGNC Symbol%3BAcc:HGNC:29032]
ENSLOCP00000001135	si:dkeyp-72e1.9	si:dkeyp-72e1.9 [Source:ZFIN%3BAcc:ZDB-GENE-120215-89]
ENSLOCP00000001164	ppl	periplakin [Source:ZFIN%3BAcc:ZDB-GENE-041008-196]
ENSLOCP00000001193	ppl	periplakin [Source:ZFIN%3BAcc:ZDB-GENE-041008-196]
ENSLOCP00000001224	UBN1	ubinuclein 1 [Source:HGNC Symbol%3BAcc:HGNC:12506]
ENSLOCP00000001247	glyr1	glyoxylate reductase 1 homolog (Arabidopsis) [Source:ZFIN%3BAcc:ZDB-GENE-041121-5]
ENSLOCP00000001269	glyr1	glyoxylate reductase 1 homolog (Arabidopsis) [Source:ZFIN%3BAcc:ZDB-GENE-041121-5]
ENSLOCP00000001297	rogdi	rogdi homolog (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-030131-7582]
ENSLOCP00000001314	SMIM22	small integral membrane protein 22 [Source:HGNC Symbol%3BAcc:HGNC:48329]
ENSLOCP00000001326	galr2b	galanin receptor 2b [Source:ZFIN%3BAcc:ZDB-GENE-131121-48]
ENSLOCP00000001346	zfand2a	zinc finger%2C AN1-type domain 2A [Source:ZFIN%3BAcc:ZDB-GENE-040426-1596]
ENSLOCP00000001362	zfand2a	zinc finger%2C AN1-type domain 2A [Source:ZFIN%3BAcc:ZDB-GENE-040426-1596]
ENSLOCP00000001388	uncx	UNC homeobox [Source:ZFIN%3BAcc:ZDB-GENE-080509-1]
ENSLOCP00000001417	MICALL2	MICAL like 2 [Source:HGNC Symbol%3BAcc:HGNC:29672]
ENSLOCP00000001435	si:dkey-43p13.5	si:dkey-43p13.5 [Source:ZFIN%3BAcc:ZDB-GENE-131121-510]
ENSLOCP00000001483	ints1	integrator complex subunit 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6523]
ENSLOCP00000001507	unknown	unknown
ENSLOCP00000001520	mafk	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K [Source:ZFIN%3BAcc:ZDB-GENE-040624-9]
ENSLOCP00000001548	tmem184a	transmembrane protein 184a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2925]
ENSLOCP00000001565	psmg3	proteasome (prosome%2C macropain) assembly chaperone 3 [Source:ZFIN%3BAcc:ZDB-GENE-040718-262]
ENSLOCP00000022190	elfn1b	extracellular leucine-rich repeat and fibronectin type III domain containing 1b [Source:ZFIN%3BAcc:ZDB-GENE-080327-21]
ENSLOCP00000001589	mad1l1	MAD1 mitotic arrest deficient-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1081]
ENSLOCP00000001606	mad1l1	MAD1 mitotic arrest deficient-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1081]
ENSLOCP00000001629	ftsj2	FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:ZFIN%3BAcc:ZDB-GENE-030131-5205]
ENSLOCP00000001647	nudt1	nudix (nucleoside diphosphate linked moiety X)-type motif 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2757]
ENSLOCP00000001678	snx8b	sorting nexin 8b [Source:ZFIN%3BAcc:ZDB-GENE-090313-317]
ENSLOCP00000001738	iqce	IQ motif containing E [Source:ZFIN%3BAcc:ZDB-GENE-090312-217]
ENSLOCP00000001699	iqce	IQ motif containing E [Source:ZFIN%3BAcc:ZDB-GENE-090312-217]
ENSLOCP00000001725	iqce	IQ motif containing E [Source:ZFIN%3BAcc:ZDB-GENE-090312-217]
ENSLOCP00000001770	ttyh3a	tweety family member 3a [Source:ZFIN%3BAcc:ZDB-GENE-120508-1]
ENSLOCP00000001783	pdgfab	platelet-derived growth factor alpha polypeptide b [Source:ZFIN%3BAcc:ZDB-GENE-060929-124]
ENSLOCP00000001810	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta [Source:HGNC Symbol%3BAcc:HGNC:9390]
ENSLOCP00000001827	unknown	unknown
ENSLOCP00000001852	DNAAF5	dynein axonemal assembly factor 5 [Source:HGNC Symbol%3BAcc:HGNC:26013]
ENSLOCP00000001883	sun1	Sad1 and UNC84 domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-551]
ENSLOCP00000001901	sun1	Sad1 and UNC84 domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-050522-551]
ENSLOCP00000001927	get4	golgi to ER traffic protein 4 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-030131-5399]
ENSLOCP00000001936	unknown	unknown
ENSLOCP00000001955	unknown	unknown
ENSLOCP00000001968	unknown	unknown
ENSLOCP00000001993	ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol%3BAcc:HGNC:16486]
ENSLOCP00000002011	cox19	COX19 cytochrome c oxidase assembly factor [Source:ZFIN%3BAcc:ZDB-GENE-070410-29]
ENSLOCP00000002026	rnps1	RNA binding protein S1%2C serine-rich domain [Source:ZFIN%3BAcc:ZDB-GENE-030131-5228]
ENSLOCP00000002047	unknown	unknown
ENSLOCP00000002071	RAB26	RAB26%2C member RAS oncogene family [Source:HGNC Symbol%3BAcc:HGNC:14259]
ENSLOCP00000002092	LMF1	lipase maturation factor 1 [Source:HGNC Symbol%3BAcc:HGNC:14154]
ENSLOCP00000002106	SOX8	SRY-box 8 [Source:HGNC Symbol%3BAcc:HGNC:11203]
ENSLOCP00000002139	pemt	phosphatidylethanolamine N-methyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-040426-719]
ENSLOCP00000002157	rasd1	RAS%2C dexamethasone-induced 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1473]
ENSLOCP00000002172	si:ch73-105m5.1	si:ch73-105m5.1 [Source:ZFIN%3BAcc:ZDB-GENE-121214-244]
ENSLOCP00000002193	NT5C	5'%2C 3'-nucleotidase%2C cytosolic [Source:HGNC Symbol%3BAcc:HGNC:17144]
ENSLOCP00000002214	COPS3	COP9 signalosome subunit 3 [Source:HGNC Symbol%3BAcc:HGNC:2239]
ENSLOCP00000002247	si:ch73-103b11.2	si:ch73-103b11.2 [Source:ZFIN%3BAcc:ZDB-GENE-080917-14]
ENSLOCP00000002260	si:ch73-103b11.2	si:ch73-103b11.2 [Source:ZFIN%3BAcc:ZDB-GENE-080917-14]
ENSLOCP00000002285	unknown	unknown
ENSLOCP00000002312	usp22	ubiquitin specific peptidase 22 [Source:ZFIN%3BAcc:ZDB-GENE-060512-211]
ENSLOCP00000002304	usp22	ubiquitin specific peptidase 22 [Source:ZFIN%3BAcc:ZDB-GENE-060512-211]
ENSLOCP00000002332	usp22	ubiquitin specific peptidase 22 [Source:ZFIN%3BAcc:ZDB-GENE-060512-211]
ENSLOCP00000022191	kcnj12a	potassium inwardly-rectifying channel%2C subfamily J%2C member 12a [Source:ZFIN%3BAcc:ZDB-GENE-131126-14]
ENSLOCP00000002358	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol%3BAcc:HGNC:6843]
ENSLOCP00000002378	natd1	zgc:110779 [Source:ZFIN%3BAcc:ZDB-GENE-050306-19]
ENSLOCP00000002394	tmem11	transmembrane protein 11 [Source:ZFIN%3BAcc:ZDB-GENE-050417-37]
ENSLOCP00000002417	dhrs7b	dehydrogenase/reductase (SDR family) member 7B [Source:ZFIN%3BAcc:ZDB-GENE-050417-277]
ENSLOCP00000002456	cramp1	cramped chromatin regulator homolog 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8255]
ENSLOCP00000002438	cramp1	cramped chromatin regulator homolog 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8255]
ENSLOCP00000002446	cramp1	cramped chromatin regulator homolog 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8255]
ENSLOCP00000002466	cramp1	cramped chromatin regulator homolog 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8255]
ENSLOCP00000002491	hn1l	hematological and neurological expressed 1-like [Source:ZFIN%3BAcc:ZDB-GENE-030131-599]
ENSLOCP00000002510	hn1l	hematological and neurological expressed 1-like [Source:ZFIN%3BAcc:ZDB-GENE-030131-599]
ENSLOCP00000002541	im:7160594	im:7160594 [Source:ZFIN%3BAcc:ZDB-GENE-080917-43]
ENSLOCP00000002575	mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-090303-6]
ENSLOCP00000002594	nme3	NME/NM23 nucleoside diphosphate kinase 3 [Source:ZFIN%3BAcc:ZDB-GENE-000210-34]
ENSLOCP00000002609	mrps34	mitochondrial ribosomal protein S34 [Source:ZFIN%3BAcc:ZDB-GENE-041114-71]
ENSLOCP00000002631	unknown	unknown
ENSLOCP00000002649	unknown	unknown
ENSLOCP00000002670	spsb3a	splA/ryanodine receptor domain and SOCS box containing 3a [Source:ZFIN%3BAcc:ZDB-GENE-030131-4182]
ENSLOCP00000002695	nubp2	nucleotide binding protein 2 (MinD homolog%2C E. coli) [Source:ZFIN%3BAcc:ZDB-GENE-051023-10]
ENSLOCP00000002713	unknown	unknown
ENSLOCP00000002747	unknown	unknown
ENSLOCP00000002768	unknown	unknown
ENSLOCP00000002787	coro7	coronin 7 [Source:ZFIN%3BAcc:ZDB-GENE-050706-137]
ENSLOCP00000002817	coro7	coronin 7 [Source:ZFIN%3BAcc:ZDB-GENE-050706-137]
ENSLOCP00000002836	coro7	coronin 7 [Source:ZFIN%3BAcc:ZDB-GENE-050706-137]
ENSLOCP00000022192	vasna	vasorin a [Source:ZFIN%3BAcc:ZDB-GENE-050522-43]
ENSLOCP00000002858	dnaja3b	DnaJ (Hsp40) homolog%2C subfamily A%2C member 3B [Source:ZFIN%3BAcc:ZDB-GENE-040115-3]
ENSLOCP00000002881	hmox2a	heme oxygenase 2a [Source:ZFIN%3BAcc:ZDB-GENE-040914-13]
ENSLOCP00000002900	si:dkey-254e1.1	si:dkey-254e1.1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-50]
ENSLOCP00000002912	si:dkey-254e1.1	si:dkey-254e1.1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-50]
ENSLOCP00000002927	si:dkey-254e1.1	si:dkey-254e1.1 [Source:ZFIN%3BAcc:ZDB-GENE-091204-50]
ENSLOCP00000002943	unknown	unknown
ENSLOCP00000022193	unknown	unknown
ENSLOCP00000002963	unknown	unknown
ENSLOCP00000003026	abca3b	ATP-binding cassette%2C sub-family A (ABC1)%2C member 3b [Source:ZFIN%3BAcc:ZDB-GENE-050517-2]
ENSLOCP00000003052	unknown	unknown
ENSLOCP00000003069	glis2a	GLIS family zinc finger 2a [Source:ZFIN%3BAcc:ZDB-GENE-130102-1]
ENSLOCP00000003091	tfap4	transcription factor AP-4 (activating enhancer binding protein 4) [Source:ZFIN%3BAcc:ZDB-GENE-090810-1]
ENSLOCP00000003104	srl	sarcalumenin [Source:ZFIN%3BAcc:ZDB-GENE-061110-91]
ENSLOCP00000003121	srl	sarcalumenin [Source:ZFIN%3BAcc:ZDB-GENE-061110-91]
ENSLOCP00000003141	adcy9	adenylate cyclase 9 [Source:ZFIN%3BAcc:ZDB-GENE-050208-455]
ENSLOCP00000003156	adcy9	adenylate cyclase 9 [Source:ZFIN%3BAcc:ZDB-GENE-050208-455]
ENSLOCP00000003209	crebbpb	CREB binding protein b [Source:ZFIN%3BAcc:ZDB-GENE-050302-102]
ENSLOCP00000003190	crebbpb	CREB binding protein b [Source:ZFIN%3BAcc:ZDB-GENE-050302-102]
ENSLOCP00000003227	trap1	TNF receptor-associated protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4257]
ENSLOCP00000003245	slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-050208-359]
ENSLOCP00000003261	si:dkey-44g23.5	si:dkey-44g23.5 [Source:ZFIN%3BAcc:ZDB-GENE-041008-233]
ENSLOCP00000003283	gde1	glycerophosphodiester phosphodiesterase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-881]
ENSLOCP00000003302	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol%3BAcc:HGNC:24342]
ENSLOCP00000003324	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol%3BAcc:HGNC:24342]
ENSLOCP00000003361	zgc:163107	zgc:163107 [Source:ZFIN%3BAcc:ZDB-GENE-070521-7]
ENSLOCP00000003373	unknown	unknown
ENSLOCP00000003386	iqck	IQ motif containing K [Source:ZFIN%3BAcc:ZDB-GENE-081022-109]
ENSLOCP00000003399	iqck	IQ motif containing K [Source:ZFIN%3BAcc:ZDB-GENE-081022-109]
ENSLOCP00000003412	gprc5bb	G protein-coupled receptor%2C class C%2C group 5%2C member Bb [Source:ZFIN%3BAcc:ZDB-GENE-090313-75]
ENSLOCP00000003438	proza	protein Z%2C vitamin K-dependent plasma glycoprotein a [Source:ZFIN%3BAcc:ZDB-GENE-061013-403]
ENSLOCP00000003457	proza	protein Z%2C vitamin K-dependent plasma glycoprotein a [Source:ZFIN%3BAcc:ZDB-GENE-061013-403]
ENSLOCP00000003476	GPR139	G protein-coupled receptor 139 [Source:HGNC Symbol%3BAcc:HGNC:19995]
ENSLOCP00000003494	si:ch211-202h22.9	si:ch211-202h22.9 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1143]
ENSLOCP00000003512	tekt4	tektin 4 [Source:ZFIN%3BAcc:ZDB-GENE-070410-98]
ENSLOCP00000022194	sstr5	somatostatin receptor 5 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2502]
ENSLOCP00000022195	zgc:77748	zgc:77748 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1864]
ENSLOCP00000003564	PKD1	polycystin 1%2C transient receptor potential channel interacting [Source:HGNC Symbol%3BAcc:HGNC:9008]
ENSLOCP00000003540	PKD1	polycystin 1%2C transient receptor potential channel interacting [Source:HGNC Symbol%3BAcc:HGNC:9008]
ENSLOCP00000003605	TSC2	tuberous sclerosis 2 [Source:HGNC Symbol%3BAcc:HGNC:12363]
ENSLOCP00000003620	TSC2	tuberous sclerosis 2 [Source:HGNC Symbol%3BAcc:HGNC:12363]
ENSLOCP00000003638	nthl1	nth-like DNA glycosylase 1 [Source:ZFIN%3BAcc:ZDB-GENE-120511-4]
ENSLOCP00000003652	unknown	unknown
ENSLOCP00000003662	crp1	C-reactive protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-060503-314]
ENSLOCP00000003685	si:ch211-248l17.3	si:ch211-248l17.3 [Source:ZFIN%3BAcc:ZDB-GENE-120709-105]
ENSLOCP00000022196	NHLRC4	NHL repeat containing 4 [Source:HGNC Symbol%3BAcc:HGNC:26700]
ENSLOCP00000003703	metrn	meteorin%2C glial cell differentiation regulator [Source:ZFIN%3BAcc:ZDB-GENE-050102-1]
ENSLOCP00000003719	fam173a	family with sequence similarity 173%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-040625-59]
ENSLOCP00000003741	unknown	unknown
ENSLOCP00000022197	TCTE3	t-complex-associated-testis-expressed 3 [Source:HGNC Symbol%3BAcc:HGNC:11695]
ENSLOCP00000022198	TRIM56	tripartite motif containing 56 [Source:HGNC Symbol%3BAcc:HGNC:19028]
ENSLOCP00000003763	ift140	intraflagellar transport 140 homolog (Chlamydomonas) [Source:ZFIN%3BAcc:ZDB-GENE-040724-165]
ENSLOCP00000003778	ift140	intraflagellar transport 140 homolog (Chlamydomonas) [Source:ZFIN%3BAcc:ZDB-GENE-040724-165]
ENSLOCP00000003794	tmem204	transmembrane protein 204 [Source:ZFIN%3BAcc:ZDB-GENE-040724-12]
ENSLOCP00000003821	telo2	TEL2%2C telomere maintenance 2%2C homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-061103-523]
ENSLOCP00000003849	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol%3BAcc:HGNC:17224]
ENSLOCP00000003865	decr2	2%2C4-dienoyl CoA reductase 2%2C peroxisomal [Source:ZFIN%3BAcc:ZDB-GENE-040426-2612]
ENSLOCP00000003884	nme4	NME/NM23 nucleoside diphosphate kinase 4 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1043]
ENSLOCP00000003912	xpo6	exportin 6 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5912]
ENSLOCP00000003925	si:ch211-183d21.3	si:ch211-183d21.3 [Source:ZFIN%3BAcc:ZDB-GENE-091118-114]
ENSLOCP00000003939	si:ch211-183d21.1	si:ch211-183d21.1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8516]
ENSLOCP00000003955	nlrc3	NLR family%2C CARD domain containing 3 [Source:ZFIN%3BAcc:ZDB-GENE-071119-1]
ENSLOCP00000003972	cluap1	clusterin associated protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1943]
ENSLOCP00000003986	cluap1	clusterin associated protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1943]
ENSLOCP00000003999	unknown	unknown
ENSLOCP00000004023	unknown	unknown
ENSLOCP00000004064	wdr90	WD repeat domain 90 [Source:ZFIN%3BAcc:ZDB-GENE-070424-67]
ENSLOCP00000004051	wdr90	WD repeat domain 90 [Source:ZFIN%3BAcc:ZDB-GENE-070424-67]
ENSLOCP00000004100	rhot2	ras homolog family member T2 [Source:ZFIN%3BAcc:ZDB-GENE-051120-96]
ENSLOCP00000022199	h1f0	H1 histone family%2C member 0 [Source:ZFIN%3BAcc:ZDB-GENE-030131-337]
ENSLOCP00000004122	rhbdl1	rhomboid%2C veinlet-like 1 (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-120529-2]
ENSLOCP00000004143	zgc:112496	zgc:112496 [Source:ZFIN%3BAcc:ZDB-GENE-050320-25]
ENSLOCP00000004159	wdr24	WD repeat domain 24 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2012]
ENSLOCP00000004174	igfals	insulin-like growth factor binding protein%2C acid labile subunit [Source:ZFIN%3BAcc:ZDB-GENE-061009-25]
ENSLOCP00000004198	anks3	ankyrin repeat and sterile alpha motif domain containing 3 [Source:ZFIN%3BAcc:ZDB-GENE-080204-51]
ENSLOCP00000004210	anks3	ankyrin repeat and sterile alpha motif domain containing 3 [Source:ZFIN%3BAcc:ZDB-GENE-080204-51]
ENSLOCP00000004229	unknown	unknown
ENSLOCP00000004249	zgc:112185	zgc:112185 [Source:ZFIN%3BAcc:ZDB-GENE-050320-14]
ENSLOCP00000004266	C7orf50	chromosome 7 open reading frame 50 [Source:HGNC Symbol%3BAcc:HGNC:22421]
ENSLOCP00000022200	gpr146	G protein-coupled receptor 146 [Source:ZFIN%3BAcc:ZDB-GENE-050823-3]
ENSLOCP00000004279	unknown	unknown
ENSLOCP00000022201	gper1	G protein-coupled estrogen receptor 1 [Source:ZFIN%3BAcc:ZDB-GENE-090311-1]
ENSLOCP00000004296	si:ch211-231f6.6	si:ch211-231f6.6 [Source:ZFIN%3BAcc:ZDB-GENE-141216-156]
ENSLOCP00000004314	h3f3b.1	H3 histone%2C family 3B.1 [Source:ZFIN%3BAcc:ZDB-GENE-050417-65]
ENSLOCP00000004337	unkl	unkempt family zinc finger-like [Source:ZFIN%3BAcc:ZDB-GENE-131120-196]
ENSLOCP00000004352	unkl	unkempt family zinc finger-like [Source:ZFIN%3BAcc:ZDB-GENE-131120-196]
ENSLOCP00000004371	gnptg	N-acetylglucosamine-1-phosphate transferase%2C gamma subunit [Source:ZFIN%3BAcc:ZDB-GENE-040625-18]
ENSLOCP00000004385	tsr3	TSR3%2C 20S rRNA accumulation%2C homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-040718-63]
ENSLOCP00000004437	baiap3	BAI1-associated protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-130530-863]
ENSLOCP00000004450	baiap3	BAI1-associated protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-130530-863]
ENSLOCP00000004473	ube2ia	ubiquitin-conjugating enzyme E2Ia [Source:ZFIN%3BAcc:ZDB-GENE-010607-1]
