Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_1293_2 sh3bp5la  have too few sites, skip
Group_1501_2 cplx3b  have too few sites, skip
Group_1953_2 si:ch1073-459b3.2  have too few sites, skip
Group_3173_0 larp6  have too few sites, skip
Group_6314_0 ncaph2  have too few sites, skip
Group_2720_0 sco2  have too few sites, skip
Group_757_5 calua  have too few sites, skip
Group_57_4 opn1sw1  have too few sites, skip
Group_3644_0 tnpo3  have too few sites, skip
Group_1554_3 mstna  have too few sites, skip
Group_315_1 si:ch211-113j14.1  have too few sites, skip
Group_4780_0 dnpep  have too few sites, skip
Group_81_16 rcvrn3  have too few sites, skip
Group_490_3 si:ch211-232m10.6  have too few sites, skip
Group_7941_0 loc107395788  have too few sites, skip
Group_14_2 rxrba  have too few sites, skip
Group_1285_0 psmb10  have too few sites, skip
Group_3390_0 tapbp.2  have too few sites, skip
Group_4601_0 hibch  have too few sites, skip
Group_7588_0 ybey  have too few sites, skip
Group_3659_0 rqcd1  have too few sites, skip
Group_91_3 plcd4b  have too few sites, skip
Group_6517_0 tpt1  have too few sites, skip
Group_2788_0-Group_2788_2 lims2  have too few sites, skip
Group_616_0 slc5a7a  have too few sites, skip
Group_319_3 xkr8.3  have too few sites, skip
Group_398_6 srsf4  have too few sites, skip
Group_1462_1 dpy19l4  have too few sites, skip
Group_1716_0 sdc2  have too few sites, skip
Group_4097_0 tpmt.1  have too few sites, skip
Group_164_8 zgc:101785  have too few sites, skip
Group_6238_0 c19h1orf109  have too few sites, skip
Group_25_20 si:ch73-15n15.3  have too few sites, skip
Group_644_5 ago4  have too few sites, skip
Group_6698_0 meaf6  have too few sites, skip
Group_847_0 map7d1b  have too few sites, skip
Group_4350_0 nudcd1  have too few sites, skip
Group_271_1 pleca  have too few sites, skip
Group_3959_0 fbxl6  have too few sites, skip
Group_5887_0 zgc:109744  have too few sites, skip
Group_1125_3 si:ch73-196l6.5  have too few sites, skip
Group_312_1 nfatc1  have too few sites, skip
Group_127_17 atp9b  have too few sites, skip
Group_2525_1 apoa1bp  have too few sites, skip
Group_10_60 si:dkey-211g8.9  have too few sites, skip
Group_3734_1 olah  have too few sites, skip
Group_202_4 slc9a3.2  have too few sites, skip
Group_2805_0 lipea  have too few sites, skip
Group_36_29 ddx61  have too few sites, skip
Group_6671_0 rpl11  have too few sites, skip
Group_7160_0 pithd1  have too few sites, skip
Group_1950_2 lypla2  have too few sites, skip
Group_1522_2 ak2  have too few sites, skip
Group_6208_0 ndufs5  have too few sites, skip
Group_71_29 bmp8a  have too few sites, skip
Group_134_18 pou2f2  have too few sites, skip
Group_123_12 atp1a3  have too few sites, skip
Group_550_3 dcxr  have too few sites, skip
Group_3852_0 nppb  have too few sites, skip
Group_3852_1 nppb  have too few sites, skip
Group_546_2 dnmt3bb.2  have too few sites, skip
Group_8254_0 ldlrad2  have too few sites, skip
Group_2563_1 dedd  have too few sites, skip
Group_2658_0 porcnl  have too few sites, skip
Group_790_2 trim101  have too few sites, skip
Group_113_13 dnajc5ab  have too few sites, skip
Group_369_5 cry1ba  have too few sites, skip
Group_1725_2 cpsf3l  have too few sites, skip
Group_10_76 cabz01054884.1  have too few sites, skip
Group_107_0 hipk1a  have too few sites, skip
Group_7443_0 ppp1r3f  have too few sites, skip
Group_5924_0 wdr13  have too few sites, skip
Group_2658_1 porcn  have too few sites, skip
Group_618_2 si:ch73-162j3.4  have too few sites, skip
Group_52_28 cacna1fa  have too few sites, skip
Group_455_0 sypb  have too few sites, skip
Group_2714_0 ppp4r2a  have too few sites, skip
Group_629_4 si:ch211-200p22.4  have too few sites, skip
Group_2441_1 dnajc11a  have too few sites, skip
Group_1122_0 camta1a  have too few sites, skip
Group_4699_0 uts2a  have too few sites, skip
Group_781_1 dvl1b  have too few sites, skip
Group_5822_0 aurkaip1  have too few sites, skip
Group_460_3 pfkfb1  have too few sites, skip
Group_1400_0 gdi1  have too few sites, skip
Group_5202_0 taf8  have too few sites, skip
Group_7671_0-Group_7671_1 g0s2  have too few sites, skip
Group_267_4 mical1  have too few sites, skip
Group_31_25 kcng1  have too few sites, skip
Group_312_2 nfatc2  have too few sites, skip
Group_127_16 atp9a  have too few sites, skip
Group_571_1 sall4  have too few sites, skip
Group_724_1 tshz2  have too few sites, skip
Group_7260_0 pfdn4  have too few sites, skip
Group_8706_0 loc107390438  have too few sites, skip
Group_259_5 irx7  have too few sites, skip
Group_2150_0 plekhg5  have too few sites, skip
Group_13_11 klhl21  have too few sites, skip
Group_9_14 myh10  have too few sites, skip
Group_36_13 ddx47  have too few sites, skip
Group_1741_2 aanat1  have too few sites, skip
Group_36_42 ddx5  have too few sites, skip
Group_36_1 ddx43  have too few sites, skip
Group_265_6 kcnq5a  have too few sites, skip
Group_40_39 loc107375900  have too few sites, skip
Group_5662_0 mtx2  have too few sites, skip
Group_1331_0 mex3a  have too few sites, skip
Group_4_57 rab11al  have too few sites, skip
Group_4_59 rab25b  have too few sites, skip
Group_6562_0 lamtor2  have too few sites, skip
Group_756_0 rpz4  have too few sites, skip
Group_87_8 lhx1a  have too few sites, skip
Group_81_3 kcnip2  have too few sites, skip
Group_7119_0 cox15  have too few sites, skip
Group_14_48 hnf4a  have too few sites, skip
Group_565_4 ttpal  have too few sites, skip
Group_8163_0 pkig  have too few sites, skip
Group_5726_0 ada  have too few sites, skip
Group_624_2 si:ch211-197l9.2  have too few sites, skip
Group_185_13 osbpl2a  have too few sites, skip
Group_3072_1 adrm1  have too few sites, skip
Group_319_6 zgc:198371  have too few sites, skip
Group_6358_0 ubiad1  have too few sites, skip
Group_2588_0 hspb7  have too few sites, skip
Group_225_5 clcnk  have too few sites, skip
Group_1764_1 fam131c  have too few sites, skip
Group_3187_1 tmem82  have too few sites, skip
Group_6338_0 slc35e2b  have too few sites, skip
Group_8626_0 loc107390332  have too few sites, skip
Group_2014_0 nadka  have too few sites, skip
Group_67_1 gnb1b  have too few sites, skip
Group_2360_0 si:dkey-163f12.11  have too few sites, skip
Group_140_16 sept2  have too few sites, skip
Group_16_11 stk25b  have too few sites, skip
Group_2897_0 zgc:110269  have too few sites, skip
Group_6_31 grk7a  have too few sites, skip
Group_7511_0 ajap1  have too few sites, skip
Group_5305_0 lrrc47  have too few sites, skip
Group_293_1 si:ch211-66i15.5  have too few sites, skip
Group_185_0 osbpl2b  have too few sites, skip
Group_962_3 bsn  have too few sites, skip
Group_5561_0 tmem115  have too few sites, skip
Group_56_3 rhoab  have too few sites, skip
Group_47_4 sema3h  have too few sites, skip
Group_343_3 si:dkey-72l14.3  have too few sites, skip
Group_829_3 usp9  have too few sites, skip
Group_4072_1 rpl8  have too few sites, skip
Group_1005_1 si:dkey-192l18.9  have too few sites, skip
Group_2404_0 zgc:111976  have too few sites, skip
Group_53_36 ralaa  have too few sites, skip
Group_7085_0 tnfsf12  have too few sites, skip
Group_927_2 arih2  have too few sites, skip
Group_1588_0 impdh2  have too few sites, skip
Group_4697_0 dalrd3  have too few sites, skip
Group_6549_0 mgll  have too few sites, skip
Group_611_0 prkar2aa  have too few sites, skip
Group_343_1 hyal3  have too few sites, skip
Group_7063_0 amt  have too few sites, skip
Group_2407_0 ifrd2  have too few sites, skip
Group_7256_1 selk  have too few sites, skip
Group_1447_0 tkt  have too few sites, skip
Group_8302_0 loc107390596  have too few sites, skip
Group_6_24 sgk2a  have too few sites, skip
Group_398_8 srsf6b  have too few sites, skip
Group_4901_0 eif2s2  have too few sites, skip
Group_1516_0 chmp4bb  have too few sites, skip
Group_1628_1 vapb  have too few sites, skip
Group_80_7 gnas  have too few sites, skip
Group_8583_0 atp5e  have too few sites, skip
Group_1693_2 loc107390584  have too few sites, skip
Group_1236_2 ndufa4l2a  have too few sites, skip
Group_581_2 loc107390618  have too few sites, skip
Group_8690_1 si:ch73-21g5.7  have too few sites, skip
Group_130_12 ppih  have too few sites, skip
Group_8589_0 si:dkeyp-100a1.6  have too few sites, skip
Group_2311_0 ybx1  have too few sites, skip
Group_440_3 arhgef16  have too few sites, skip
Group_469_2 hes2  have too few sites, skip
Group_469_3 hes2  have too few sites, skip
Group_4932_0 acot7  have too few sites, skip
Group_469_4 hes3  have too few sites, skip
Group_2722_1 tprg1l  have too few sites, skip
Group_2_48 ela2  have too few sites, skip
Group_2_50 ela2l  have too few sites, skip
Group_2169_0 kazna  have too few sites, skip
Group_27_7 foxj3  have too few sites, skip
Group_0_124 znf362b  have too few sites, skip
Group_6_37 stk32c  have too few sites, skip
Group_2843_0 tmem222b  have too few sites, skip
Group_445_4 phactr3a  have too few sites, skip
Group_1103_2 loc107390733  have too few sites, skip
Group_6268_0 exosc10  have too few sites, skip
Group_4404_0 sst3  have too few sites, skip
Group_2631_0 tardbpl  have too few sites, skip
Group_5815_0 ctnnbip1  have too few sites, skip
Group_27_33 zgc:194189  have too few sites, skip
Group_469_7 her9  have too few sites, skip
Group_80_25 gnat2  have too few sites, skip
Group_416_1 cacnb3b  have too few sites, skip
Group_1471_2 g6pd  have too few sites, skip
Group_1080_2 zgc:158263  have too few sites, skip
Group_1174_0 idh3g  have too few sites, skip
Group_1225_3 fam3a  have too few sites, skip
Group_69_0 huwe1  have too few sites, skip
Group_2478_0 tmem9  have too few sites, skip
Group_183_1 c1ql4  have too few sites, skip
Group_2601_0 birc5b  have too few sites, skip
Group_1310_2 c1galt1a  have too few sites, skip
Group_6564_0 rpl29  have too few sites, skip
Group_2177_0 brd9  have too few sites, skip
Group_4985_1 trip13  have too few sites, skip
Group_51_24 sp5l  have too few sites, skip
Group_129_0 acvr1ba  have too few sites, skip
Group_93_4 wnt1  have too few sites, skip
Group_924_0 stac2  have too few sites, skip
Group_38_31 gjc1  have too few sites, skip
Group_3061_1 csnk2b  have too few sites, skip
Group_7498_0 csgr19h9orf91  have too few sites, skip
Group_7497_0 prrt1  have too few sites, skip
Group_4443_0 zbtb12.1  have too few sites, skip
Group_2840_0 rnf5  have too few sites, skip
Group_1713_2 rad21b  have too few sites, skip
Group_8685_0 si:ch211-153f2.3  have too few sites, skip
Group_9387_0 si:ch211-153f2.7  have too few sites, skip
Group_1196_1 slc30a8  have too few sites, skip
Group_2559_0 med30  have too few sites, skip
Group_381_0 ext1  have too few sites, skip
Group_1832_2 samd12  have too few sites, skip
Group_1553_0 lrp12  have too few sites, skip
Group_7714_0 jtb  have too few sites, skip
Group_323_2 cct3  have too few sites, skip
Group_3670_0 loc107394468  have too few sites, skip
Group_745_3 anp32e  have too few sites, skip
Group_3463_0 gabpb2a  have too few sites, skip
Group_2939_0 pa2g4b  have too few sites, skip
Group_602_0 esyt1a  have too few sites, skip
Group_542_5 rbms2b  have too few sites, skip
Group_5010_0 mfsd5  have too few sites, skip
Group_237_6 loc107390905  have too few sites, skip
Group_801_3 hoxc13a  have too few sites, skip
Group_40_33 hoxc5a  have too few sites, skip
Group_40_38 hoxc4a  have too few sites, skip
Group_40_17 hoxc3a  have too few sites, skip
Group_211_6 hnrnpa1b  have too few sites, skip
Group_2748_1 copz1  have too few sites, skip
Group_549_2 csad  have too few sites, skip
Group_7863_1 zgc:174906  have too few sites, skip
Group_93_19 wnt2bb  have too few sites, skip
Group_6734_0 ebp  have too few sites, skip
Group_6771_0 si:dkey-109j17.5  have too few sites, skip
Group_3168_0 apobec2b  have too few sites, skip
Group_84_4 mybpha  have too few sites, skip
Group_434_3 csrp1a  have too few sites, skip
Group_1914_1 phlda3  have too few sites, skip
Group_263_7 adora3  have too few sites, skip
Group_58_37 ube2t  have too few sites, skip
Group_6982_0 zgc:194242  have too few sites, skip
Group_31_44 kcna10  have too few sites, skip
Group_930_1 atp6ap1lb  have too few sites, skip
Group_233_3 b4galt3  have too few sites, skip
Group_1447_2 tktb  have too few sites, skip
Group_1263_3 rbm10  have too few sites, skip
Group_252_4 usp21  have too few sites, skip
Group_1488_0 uba1  have too few sites, skip
Group_172_1 zgc:92113  have too few sites, skip
Group_33_17 tspan2b  have too few sites, skip
Group_820_2 ngfa  have too few sites, skip
Group_138_4 si:dkey-33c9.6  have too few sites, skip
Group_19_21 loc107391010  have too few sites, skip
Group_21_49 si:ch211-117c9.1  have too few sites, skip
Group_1926_0 samhd1  have too few sites, skip
Group_7268_0 c23h20orf24  have too few sites, skip
Group_623_4 zhx3  have too few sites, skip
Group_371_5 ggt7  have too few sites, skip
Group_8833_0 si:dkey-234i14.6  have too few sites, skip
Group_5474_0 prpf18  have too few sites, skip
Group_2473_1 sephs1  have too few sites, skip
Group_194_8 cpt1b  have too few sites, skip
Group_463_0 loc107388899  have too few sites, skip
Group_284_1 zp3a.1  have too few sites, skip
Group_1189_2 chchd6b  have too few sites, skip
Group_678_4 zgc:123305  have too few sites, skip
Group_320_4 myl9a  have too few sites, skip
Group_35_11 krt4  have too few sites, skip
Group_35_37 zgc:77517  have too few sites, skip
Group_4353_0 eif4bb  have too few sites, skip
Group_14_42 vdrb  have too few sites, skip
Group_325_5 hdac7b  have too few sites, skip
Group_3107_1 slc48a1b  have too few sites, skip
Group_5752_0 phf13  have too few sites, skip
Group_2441_0 dnajc11b  have too few sites, skip
Group_107_17 si:ch211-160o17.4  have too few sites, skip
Group_4690_0 ube2j2  have too few sites, skip
Group_2_80 si:dkey-33m11.8  have too few sites, skip
Group_8087_0 tmem167b  have too few sites, skip
Group_572_5 srpk1b  have too few sites, skip
Group_543_0 lhfpl5a  have too few sites, skip
Group_707_5 ahcyl1  have too few sites, skip
Group_80_1 gnai3  have too few sites, skip
Group_176_1 cpne5a  have too few sites, skip
Group_543_1 lhfpl5b  have too few sites, skip
Group_572_0 srpk1a  have too few sites, skip
Group_656_3 pfkma  have too few sites, skip
Group_2_40 tmprss12  have too few sites, skip
Group_52_20 scn8a  have too few sites, skip
Group_39_37 si:dkey-157g16.6  have too few sites, skip
Group_358_4 stat6  have too few sites, skip
Group_360_11 mipa  have too few sites, skip
Group_276_6 zgc:66440  have too few sites, skip
Group_7838_0 lamtor5  have too few sites, skip
Group_0_63 si:ch211-269m15.3  have too few sites, skip
Group_2335_1 rerea  have too few sites, skip
Group_772_0 eno1a  have too few sites, skip
Group_7308_0 gpr157  have too few sites, skip
Group_758_3 spsb1  have too few sites, skip
Group_601_0 ampd2b  have too few sites, skip
Group_865_0 erc1a  have too few sites, skip
Group_2931_1 fbxl14a  have too few sites, skip
Group_1976_2 si:dkey-217l24.1  have too few sites, skip
Group_5410_0 psmd7  have too few sites, skip
Group_1084_3 hprt1l  have too few sites, skip
Group_283_2 mafba  have too few sites, skip
Group_3006_1 rnf114  have too few sites, skip
Group_3415_0 spata2  have too few sites, skip
Group_202_2 slc9a8  have too few sites, skip
Group_1832_0 samd10b  have too few sites, skip
Group_1154_2 nkain4  have too few sites, skip
Group_1251_1 birc7  have too few sites, skip
Group_2431_0 bhlhe23  have too few sites, skip
Group_2728_0 gid8a  have too few sites, skip
Group_1509_2 tnpo1  have too few sites, skip
Group_1246_0 btf3  have too few sites, skip
Group_2055_0 ankra2  have too few sites, skip
Group_462_1 mob1bb  have too few sites, skip
Group_157_12 slc4a4b  have too few sites, skip
Group_73_21 npffr2b  have too few sites, skip
Group_5056_0 abtb1  have too few sites, skip
Group_326_1 cers5  have too few sites, skip
Group_2330_0 slmapb  have too few sites, skip
Group_640_3 kctd6b  have too few sites, skip
Group_285_1 ywhaba  have too few sites, skip
Group_460_5 pfkfb2a  have too few sites, skip
Group_64_17 dusp7  have too few sites, skip
Group_29_18 slc6a1a  have too few sites, skip
Group_868_0 syn2a  have too few sites, skip
Group_559_4 raf1b  have too few sites, skip
Group_3836_1 cnbpa  have too few sites, skip
Group_1602_1 zgc:77375  have too few sites, skip
Group_93_26 wnt7a  have too few sites, skip
Group_3_29 gpr182  have too few sites, skip
Group_777_1 agap2  have too few sites, skip
Group_2208_2 tspan31  have too few sites, skip
Group_995_0 march9  have too few sites, skip
Group_1104_1 vangl1  have too few sites, skip
Group_6133_0 poglut1  have too few sites, skip
Group_7118_0 timmdc1  have too few sites, skip
Group_2533_1 tmem163b  have too few sites, skip
Group_846_2 mgat5  have too few sites, skip
Group_403_1 clic5a  have too few sites, skip
Group_282_2 enpp4  have too few sites, skip
Group_183_11 c1ql2  have too few sites, skip
Group_1075_6 steap3  have too few sites, skip
Group_14_52 nr2e3  have too few sites, skip
Group_4564_0 snrpe  have too few sites, skip
Group_4554_0 paxip1  have too few sites, skip
Group_1137_1 en2  have too few sites, skip
Group_2637_1 cnpy1  have too few sites, skip
Group_4874_0 atg10  have too few sites, skip
Group_1847_0 fam110b  have too few sites, skip
Group_2309_1 f3b  have too few sites, skip
Group_154_18 cahz  have too few sites, skip
Group_31_37 kcnb2  have too few sites, skip
Group_1762_0 rnf31  have too few sites, skip
Group_319_5 xkr4  have too few sites, skip
Group_4221_0 tmem68  have too few sites, skip
Group_479_1 pcbp2  have too few sites, skip
Group_1009_0 ccnt1  have too few sites, skip
Group_4890_0 nckap5l  have too few sites, skip
Group_3801_0 tegt  have too few sites, skip
Group_1207_4 ninj1  have too few sites, skip
Group_231_0 fmodb  have too few sites, skip
Group_4455_1 csf1b  have too few sites, skip
Group_57_0 rho  have too few sites, skip
Group_424_1 prickle2a  have too few sites, skip
Group_20_45 loc107391144  have too few sites, skip
Group_582_0 qrich1  have too few sites, skip
Group_6291_0 ogg1  have too few sites, skip
Group_2581_0 prkcbp1l  have too few sites, skip
Group_360_1 mipb  have too few sites, skip
Group_3051_0 ptges3b  have too few sites, skip
Group_190_2 irf10  have too few sites, skip
Group_1179_1 loc107391170  have too few sites, skip
Group_2857_0 ppdpfa  have too few sites, skip
Group_1014_1 tpd52l2a  have too few sites, skip
Group_2728_1 gid8b  have too few sites, skip
Group_299_9 slc17a9a  have too few sites, skip
Group_1292_0 gpd1a  have too few sites, skip
Group_416_2 cacnb3a  have too few sites, skip
Group_56_48 rnd1a  have too few sites, skip
Group_1453_1 cables2b  have too few sites, skip
Group_4058_0 ccm2l  have too few sites, skip
Group_6691_0 wdr46  have too few sites, skip
Group_98_4 b3galt4  have too few sites, skip
Group_14_54 nr2c2  have too few sites, skip
Group_6689_0 mrps25  have too few sites, skip
Group_6688_0 rbsn  have too few sites, skip
Group_57_40 rho  have too few sites, skip
Group_524_1 slc13a3  have too few sites, skip
Group_222_10 trhr3  have too few sites, skip
Group_1079_1 loc107391240  have too few sites, skip
Group_6989_0 pym1  have too few sites, skip
Group_5795_0 spats2  have too few sites, skip
Group_6254_0 pan2  have too few sites, skip
Group_1683_0 ormdl2  have too few sites, skip
Group_6031_0 taf11  have too few sites, skip
Group_2866_0 c6orf106  have too few sites, skip
Group_551_0 pacsin1  have too few sites, skip
Group_2527_2 si:dkey-226k3.4  have too few sites, skip
Group_11_34 grm4  have too few sites, skip
Group_5913_0 zgc:66479  have too few sites, skip
Group_3302_0 bx323087.1  have too few sites, skip
Group_65_3 syt2a  have too few sites, skip
Group_467_2 loc107391264  have too few sites, skip
Group_1832_1 samd10a  have too few sites, skip
Group_1154_1 zgc:100920  have too few sites, skip
Group_3097_0 minos1  have too few sites, skip
Group_647_1 dennd2c  have too few sites, skip
Group_7829_0 rnf223  have too few sites, skip
Group_288_5 si:ch211-240g9.1  have too few sites, skip
Group_19_57 mapk13  have too few sites, skip
Group_3673_1 pqlc2  have too few sites, skip
Group_1125_2 slc52a3  have too few sites, skip
Group_20_37 ptpn1  have too few sites, skip
Group_13_38 klhl12  have too few sites, skip
Group_82_36 tuba8l  have too few sites, skip
Group_7007_0 tmem240b  have too few sites, skip
Group_5161_0 otud3  have too few sites, skip
Group_5140_0 bcas2  have too few sites, skip
Group_6623_0 ctnnbl1  have too few sites, skip
Group_346_5 e2f1  have too few sites, skip
Group_96_11 loc107391320  have too few sites, skip
Group_14_41 vdra  have too few sites, skip
Group_325_1 hdac7  have too few sites, skip
Group_362_7 twist3b  have too few sites, skip
Group_5_17 loc107391327  have too few sites, skip
Group_1189_3 chchd6a  have too few sites, skip
Group_51_14 klf15  have too few sites, skip
Group_149_6 plxnb1a  have too few sites, skip
Group_35_12 krt5  have too few sites, skip
Group_1243_1 tmem106c  have too few sites, skip
Group_6644_0 fam50a  have too few sites, skip
Group_384_2 arhgap4b  have too few sites, skip
Group_7703_0 zgc:103759  have too few sites, skip
Group_37_1 pim1  have too few sites, skip
Group_8014_0 si:dkey-32e6.3  have too few sites, skip
Group_252_2 usp19  have too few sites, skip
Group_106_10 tnnc2  have too few sites, skip
Group_228_2 arfgef2  have too few sites, skip
Group_1256_0 bcl2l1  have too few sites, skip
Group_2323_2 cox4i2  have too few sites, skip
Group_2575_1 nsfl1c  have too few sites, skip
Group_467_1 fkbp1ab  have too few sites, skip
Group_1712_2 snphb  have too few sites, skip
Group_6658_0 abt1  have too few sites, skip
Group_11_32 grm6a  have too few sites, skip
Group_842_1 abcd1  have too few sites, skip
Group_238_9 fgd1  have too few sites, skip
Group_2291_0 cxxc1a  have too few sites, skip
Group_543_3 lhfpl4b  have too few sites, skip
Group_52_27 cacna1fb  have too few sites, skip
Group_149_11 plxna3  have too few sites, skip
Group_75_3 elk1  have too few sites, skip
Group_29_16 slc6a8  have too few sites, skip
Group_981_3 slc35a2  have too few sites, skip
Group_3683_0 otud5  have too few sites, skip
Group_8523_0 loc107391494  have too few sites, skip
Group_733_4 tead1a  have too few sites, skip
Group_1499_0 parvaa  have too few sites, skip
Group_2455_0 far1  have too few sites, skip
Group_2730_0 lcat  have too few sites, skip
Group_1120_0 calb2a  have too few sites, skip
Group_1452_0 slc38a8  have too few sites, skip
Group_1297_1 nrn1la  have too few sites, skip
Group_3389_1 nutf2  have too few sites, skip
Group_4767_0 ispd  have too few sites, skip
Group_8235_0 si:ch211-215k15.5  have too few sites, skip
Group_94_8 tbx20  have too few sites, skip
Group_1462_0 dpy19l1l  have too few sites, skip
Group_30_26 arl8a  have too few sites, skip
Group_1134_3 gpr37l1b  have too few sites, skip
Group_591_1 sulf2b  have too few sites, skip
Group_5367_0 zcchc9  have too few sites, skip
Group_117_18 actr1  have too few sites, skip
Group_6349_0 agpat2  have too few sites, skip
Group_100_26 slc2a1a  have too few sites, skip
Group_400_5 slc38a5b  have too few sites, skip
Group_1218_0 stk35  have too few sites, skip
Group_6912_0 pdyn  have too few sites, skip
Group_1849_1 si:ch73-302a13.2  have too few sites, skip
Group_56_1 rhoaa  have too few sites, skip
Group_1165_2 plod1a  have too few sites, skip
Group_4206_0 icmt  have too few sites, skip
Group_8554_0 loc107391385  have too few sites, skip
Group_647_2 dennd2d  have too few sites, skip
Group_6_77 stk38a  have too few sites, skip
Group_6522_0 pex10  have too few sites, skip
Group_619_2 flna  have too few sites, skip
Group_7071_0 haus7  have too few sites, skip
Group_7702_0 crebzf  have too few sites, skip
Group_123_9 atp2b3b  have too few sites, skip
Group_4606_0 fam58a  have too few sites, skip
Group_7227_0 ikbkg  have too few sites, skip
Group_1306_3 tmed4  have too few sites, skip
Group_6666_0 prosc  have too few sites, skip
Group_13_49 loc107396517  have too few sites, skip
Group_4659_0 pofut1  have too few sites, skip
Group_1801_0 plagl2  have too few sites, skip
Group_893_3 tm9sf4  have too few sites, skip
Group_12_33 hck  have too few sites, skip
Group_6948_0 si:ch211-200e2.1  have too few sites, skip
Group_361_6 gata5  have too few sites, skip
Group_224_10 slco4a1  have too few sites, skip
Group_222_5 ntsr1  have too few sites, skip
Group_2016_1 cyfip2  have too few sites, skip
Group_6579_0 med7  have too few sites, skip
Group_3207_0-Group_3207_1 ompb  have too few sites, skip
Group_1023_2 sox13  have too few sites, skip
Group_778_1 arap2  have too few sites, skip
Group_7876_0 svbp  have too few sites, skip
Group_1226_1 zgc:175088  have too few sites, skip
Group_0_22 zxda  have too few sites, skip
Group_6287_0 mtmr14  have too few sites, skip
Group_144_8 cbln18  have too few sites, skip
Group_1605_0 nog1  have too few sites, skip
Group_282_4 enpp7.2  have too few sites, skip
Group_16_51 map2k4b  have too few sites, skip
Group_4023_0 elac2  have too few sites, skip
Group_3679_0 usp48  have too few sites, skip
Group_3648_1 zc3h11a  have too few sites, skip
Group_9264_0 loc107376640  have too few sites, skip
Group_240_10 acad9  have too few sites, skip
Group_666_1 ncoa3  have too few sites, skip
Group_901_2 id1  have too few sites, skip
Group_2455_1 si:dkey-97m3.1  have too few sites, skip
Group_11_28 grm8b  have too few sites, skip
Group_5053_0 trpc4apa  have too few sites, skip
Group_519_3 snai1a  have too few sites, skip
Group_9007_0 unknown  have too few sites, skip
Group_371_6 loc107385872  have too few sites, skip
Group_1124_2 cyldb  have too few sites, skip
Group_1317_1 top1l  have too few sites, skip
Group_213_11 fam83d  have too few sites, skip
Group_623_3 zhx3  have too few sites, skip
Group_1256_1 bcl2l1  have too few sites, skip
Group_361_2 gata1a  have too few sites, skip
Group_57_3 opn1sw2  have too few sites, skip
Group_1507_2 gnl3l  have too few sites, skip
Group_9392_0 si:dkey-245f22.3  have too few sites, skip
Group_2291_1 cxxc1b  have too few sites, skip
Group_3476_1 mbd1b  have too few sites, skip
Group_3289_1 ccdc120  have too few sites, skip
Group_572_4 srpk3  have too few sites, skip
Group_2025_2 comtb  have too few sites, skip
Group_11_33 grm6b  have too few sites, skip
Group_26_5 mst1rb  have too few sites, skip
Group_2106_0 rpl35  have too few sites, skip
Group_885_0 txnrd1  have too few sites, skip
Group_297_0 chst13  have too few sites, skip
Group_364_1 lnx1  have too few sites, skip
Group_3614_0 scfd2  have too few sites, skip
Group_4661_0 spata18  have too few sites, skip
Group_1107_0 ube2v2  have too few sites, skip
Group_558_4 dcun1d4  have too few sites, skip
Group_3128_1 ociad2  have too few sites, skip
Group_2909_1 zar1  have too few sites, skip
Group_946_0 slc10a4  have too few sites, skip
Group_1038_0 slain2  have too few sites, skip
Group_5336_0 anapc4  have too few sites, skip
Group_550_5 cbr4  have too few sites, skip
Group_22_30 camkvb  have too few sites, skip
Group_605_5 zgc:112023  have too few sites, skip
Group_8_20 col8a1b  have too few sites, skip
Group_1672_2 gxylt2  have too few sites, skip
Group_1740_2 rybpa  have too few sites, skip
Group_3248_0 prok2  have too few sites, skip
Group_3054_1 eif4e3  have too few sites, skip
Group_560_3 foxp1b  have too few sites, skip
Group_9201_0 si:dkey-58f6.2  have too few sites, skip
Group_611_1 prkar2ab  have too few sites, skip
Group_249_4 slc25a34  have too few sites, skip
Group_5425_0 fbxo42  have too few sites, skip
Group_2960_0 szrd1  have too few sites, skip
Group_7145_0 mrpl20  have too few sites, skip
Group_4622_0 ift52  have too few sites, skip
Group_112_0 epb41l1  have too few sites, skip
Group_29_11 slc6a11  have too few sites, skip
Group_208_12 slitrk4  have too few sites, skip
Group_7258_0 minos1-nbl1  have too few sites, skip
Group_3097_1 minos1  have too few sites, skip
Group_4391_1 capzb  have too few sites, skip
Group_3945_0 dstyk  have too few sites, skip
Group_21_48 nuak2  have too few sites, skip
Group_5306_0 med20  have too few sites, skip
Group_6770_0 cdkn1a  have too few sites, skip
Group_1342_0 srsf3  have too few sites, skip
Group_707_3 ahcyl1  have too few sites, skip
Group_2125_0 strip1  have too few sites, skip
Group_29_26 slc6a17  have too few sites, skip
Group_1159_0 gpr61  have too few sites, skip
Group_473_2 eps8l3a  have too few sites, skip
Group_190_6 irf6  have too few sites, skip
Group_7870_0 loc107385748  have too few sites, skip
Group_5487_0 wdr77  have too few sites, skip
Group_713_0 cav3  have too few sites, skip
Group_11_37 grm2  have too few sites, skip
Group_3263_1 tex264a  have too few sites, skip
Group_400_0 slc38a3a  have too few sites, skip
Group_2361_1 sec61a1  have too few sites, skip
Group_460_1 pfkfb4b  have too few sites, skip
Group_2507_1 ruvbl1  have too few sites, skip
Group_5683_0 rft1  have too few sites, skip
